""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	3	1	50	0.1	0.1	50	327	0.073	1	Inf
"2"	2	4	1	50	0.1	0.1	50	291	0.074	1	Inf
"3"	2	4	1	50	0.1	0.1	50	291	0.074	1	Inf
"4"	2	4	1	50	0.1	0.1	50	327	0.073	1	Inf
"5"	2	4	1	50	0.1	0.1	50	327	0.073	1	0
"6"	2	4	1	50	0.1	0.1	50	291	0.075	2	Inf
"7"	2	4	1	50	0.1	0.1	50	351	0.073	2	Inf
"8"	2	4	1	50	0.1	0.1	50	291	0.075	2	Inf
"9"	2	4	1	50	0.1	0.1	50	299	0.074	2	0.372064299337027
"10"	2	4	1	50	0.1	0.1	50	299	0.074	2	0.0577785850513123
"11"	2	4	1	50	0.1	0.1	50	291	0.075	2	0
"12"	2	4	1	50	0.1	0.1	50	291	0.075	2	0
"13"	2	4	1	50	0.1	0.1	50	291	0.076	3	Inf
"14"	3	4	1	50	0.1	0.1	50	361	0.073	3	Inf
"15"	2	3	1	50	0.1	0.1	50	291	0.076	3	Inf
"16"	2	4	1	50	0.1	0.1	50	313	0.074	3	0.472700027245482
"17"	2	4	1	50	0.1	0.1	50	295	0.075	3	0.129207156479884
"18"	2	4	1	50	0.1	0.1	50	295	0.075	3	0.0292071564798838
"19"	2	4	1	50	0.1	0.1	50	291	0.076	3	0
"20"	2	4	1	50	0.1	0.1	50	291	0.076	3	0
"21"	2	4	1	50	0.1	0.1	50	291	0.076	3	0
"22"	2	4	1	50	0.1	0.1	50	291	0.076	3	0
"23"	2	4	1	50	0.1	0.1	50	291	0.076	3	0
"24"	2	4	1	50	0.1	0.1	50	291	0.076	3	0
"25"	2	3	1	50	0.1	0.1	50	291	0.077	4	Inf
"26"	2	4	3	50	0.1	0.1	50	365	0.073	4	Inf
"27"	2	4	1	50	0.1	0.1	50	291	0.077	4	Inf
"28"	2	4	1	50	0.1	0.1	50	315	0.074	4	0.357778585051312
"29"	2	4	1	50	0.1	0.1	50	315	0.074	4	0.114921442194169
"30"	2	4	1	50	0.1	0.1	50	299	0.075	4	0.114921442194169
"31"	2	4	1	50	0.1	0.1	50	299	0.075	4	0.0292071564798838
"32"	2	4	1	50	0.1	0.1	50	295	0.076	4	0.0292071564798838
"33"	2	4	1	50	0.1	0.1	50	295	0.076	4	0.0292071564798838
"34"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"35"	2	4	1	50	0.1	0.1	50	299	0.075	4	0
"36"	2	4	1	50	0.1	0.1	50	295	0.076	4	0
"37"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"38"	2	4	1	50	0.1	0.1	50	295	0.076	4	0
"39"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"40"	2	3	1	50	0.1	0.1	50	295	0.076	4	0
"41"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"42"	2	4	1	50	0.1	0.1	50	295	0.076	4	0
"43"	2	3	1	50	0.1	0.1	50	291	0.077	4	0
"44"	2	4	1	50	0.1	0.1	50	295	0.076	4	0
"45"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"46"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"47"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"48"	2	3	1	50	0.1	0.1	50	291	0.077	4	0
"49"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"50"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"51"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"52"	2	4	1	50	0.1	0.1	50	291	0.077	4	0
"53"	2	3	1	50	0.1	0.1	50	291	0.077	4	0
