""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	2185	0.073	1	Inf
"2"	2	4	1	50	0.1	0.1	50	2085	0.079	1	Inf
"3"	2	4	1	50	0.1	0.1	50	2085	0.079	1	Inf
"4"	2	4	1	50	0.1	0.1	50	2139	0.075	1	0.103249912508939
"5"	2	4	1	50	0.1	0.1	50	2094	0.077	1	0.058522960697494
"6"	2	4	1	50	0.1	0.1	50	2088	0.078	1	0.0116030264299083
"7"	2	4	1	50	0.1	0.1	50	2187	0.073	2	Inf
"8"	2	4	1	50	0.1	0.1	50	2085	0.08	2	Inf
"9"	2	4	1	50	0.1	0.1	50	2142	0.075	2	0.0988639475966586
"10"	2	4	1	50	0.1	0.1	50	2100	0.077	2	0.0596194519255641
"11"	2	4	1	50	0.1	0.1	50	2090	0.078	2	0.0126995176579784
"12"	2	4	1	50	0.1	0.1	50	2090	0.078	2	0.00634975882898921
"13"	2	2	1	50	0.1	0.1	50	2085	0.081	3	Inf
"14"	2	4	1	50	0.1	0.1	50	2248	0.074	3	Inf
"15"	2	4	1	50	0.1	0.1	50	2085	0.081	3	Inf
"16"	2	4	1	50	0.1	0.1	50	2187	0.075	3	0.101515307131663
"17"	2	4	1	50	0.1	0.1	50	2143	0.077	3	0.0642346053772767
"18"	2	4	1	50	0.1	0.1	50	2100	0.078	3	0.059848640464996
"19"	2	4	1	50	0.1	0.1	50	2157	0.076	3	0.0499802194123644
"20"	2	4	1	50	0.1	0.1	50	2090	0.079	3	0.0118322149693401
"21"	2	4	1	50	0.1	0.1	50	2088	0.08	3	0.00721706151762755
"22"	2	4	1	50	0.1	0.1	50	2090	0.079	3	0.00306028514477869
"23"	2	4	1	50	0.1	0.1	50	2085	0.081	3	0
"24"	2	4	1	50	0.1	0.1	50	2090	0.079	3	0
"25"	2	4	1	50	0.1	0.1	50	2085	0.081	3	0
"26"	2	4	1	50	0.1	0.1	50	2085	0.081	3	0
"27"	2	4	1	50	0.1	0.1	50	2085	0.082	4	Inf
"28"	2	4	1	50	0.1	0.1	50	2280	0.074	4	Inf
"29"	2	3	1	50	0.1	0.1	50	2085	0.082	4	Inf
"30"	2	4	1	50	0.1	0.1	50	2200	0.075	4	0.135506535201838
"31"	2	4	1	50	0.1	0.1	50	2153	0.077	4	0.0620416229211363
"32"	2	4	1	50	0.1	0.1	50	2103	0.078	4	0.0556918640921471
"33"	2	4	1	50	0.1	0.1	50	2158	0.076	4	0.0532696930965749
"34"	2	4	1	50	0.1	0.1	50	2103	0.078	4	0.00963923251319974
"35"	2	4	1	50	0.1	0.1	50	2095	0.079	4	0.00963923251319974
"36"	2	4	1	50	0.1	0.1	50	2095	0.079	4	0.00634975882898921
"37"	2	3	1	50	0.1	0.1	50	2090	0.08	4	0.00634975882898921
"38"	2	4	1	50	0.1	0.1	50	2088	0.081	4	0.00415677637284886
"39"	2	4	1	50	0.1	0.1	50	2090	0.08	4	0.00306028514477869
"40"	2	4	1	50	0.1	0.1	50	2088	0.081	4	0.00306028514477869
"41"	2	4	1	50	0.1	0.1	50	2090	0.08	4	0
"42"	2	4	1	50	0.1	0.1	50	2088	0.081	4	0
"43"	2	4	1	50	0.1	0.1	50	2090	0.08	4	0
"44"	2	4	1	50	0.1	0.1	50	2088	0.081	4	0
"45"	2	4	1	50	0.1	0.1	50	2090	0.08	4	0
"46"	2	4	1	50	0.1	0.1	50	2088	0.081	4	0
"47"	2	4	1	50	0.1	0.1	50	2090	0.08	4	0
"48"	2	4	1	50	0.1	0.1	50	2088	0.081	4	0
"49"	2	4	1	50	0.1	0.1	50	2090	0.08	4	0
"50"	2	4	1	50	0.1	0.1	50	2090	0.08	4	0
"51"	2	4	1	50	0.1	0.1	50	2090	0.08	4	0
"52"	2	4	1	50	0.1	0.1	50	2085	0.083	5	Inf
"53"	2	4	1	50	0.1	0.1	50	2340	0.074	5	Inf
"54"	2	4	1	50	0.1	0.1	50	2085	0.083	5	Inf
"55"	2	4	1	50	0.1	0.1	50	2205	0.075	5	0.200199517657978
"56"	2	4	1	50	0.1	0.1	50	2159	0.076	5	0.0554626755527153
"57"	2	4	1	50	0.1	0.1	50	2156	0.077	5	0.041208289587803
"58"	2	4	1	50	0.1	0.1	50	2123	0.078	5	0.0370515132149541
"59"	2	4	1	50	0.1	0.1	50	2123	0.078	5	0.0304725658465331
"60"	2	3	1	50	0.1	0.1	50	2096	0.079	5	0.0304725658465331
"61"	2	4	1	50	0.1	0.1	50	2095	0.08	5	0.00634975882898921
"62"	2	4	1	50	0.1	0.1	50	2090	0.081	5	0.00634975882898921
"63"	2	4	1	50	0.1	0.1	50	2088	0.082	5	0.00415677637284886
"64"	2	3	1	50	0.1	0.1	50	2090	0.081	5	0.00306028514477869
"65"	2	4	1	50	0.1	0.1	50	2088	0.082	5	0.00306028514477869
"66"	2	4	1	50	0.1	0.1	50	2096	0.079	5	0.00196379391670851
"67"	2	4	1	50	0.1	0.1	50	2095	0.08	5	0.00196379391670851
"68"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"69"	2	4	1	50	0.1	0.1	50	2090	0.081	5	0
"70"	2	4	1	50	0.1	0.1	50	2088	0.082	5	0
"71"	2	4	1	50	0.1	0.1	50	2096	0.079	5	0
"72"	2	4	1	50	0.1	0.1	50	2095	0.08	5	0
"73"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"74"	2	4	1	50	0.1	0.1	50	2090	0.081	5	0
"75"	2	4	1	50	0.1	0.1	50	2088	0.082	5	0
"76"	2	4	1	50	0.1	0.1	50	2095	0.08	5	0
"77"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"78"	2	4	1	50	0.1	0.1	50	2090	0.081	5	0
"79"	2	4	1	50	0.1	0.1	50	2088	0.082	5	0
"80"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"81"	2	4	1	50	0.1	0.1	50	2090	0.081	5	0
"82"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"83"	2	4	1	50	0.1	0.1	50	2090	0.081	5	0
"84"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"85"	2	4	1	50	0.1	0.1	50	2090	0.081	5	0
"86"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"87"	2	4	1	50	0.1	0.1	50	2090	0.081	5	0
"88"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"89"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"90"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"91"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"92"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"93"	2	4	1	50	0.1	0.1	50	2085	0.083	5	0
"94"	2	4	1	50	0.1	0.1	50	2085	0.084	6	Inf
"95"	2	4	1	50	0.1	0.1	50	2209	0.076	6	Inf
"96"	2	4	1	50	0.1	0.1	50	2085	0.084	6	Inf
"97"	2	4	1	50	0.1	0.1	50	2129	0.078	6	0.066427587833417
"98"	2	4	1	50	0.1	0.1	50	2157	0.077	6	0.0578848465482875
"99"	2	4	1	50	0.1	0.1	50	2098	0.079	6	0.0396534212808691
"100"	2	4	1	50	0.1	0.1	50	2157	0.077	6	0.0315690570746032
