""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	2	1	50	0.1	0.1	50	1260	0.091	1	Inf
"2"	2	4	1	50	0.1	0.5	50	937	0.214	1	Inf
"3"	2	2	1	50	0.1	0.1	50	1109	0.093	1	0.252226682572131
"4"	2	4	1	50	0.1	0.1	50	1238	0.092	1	0.243855276769937
"5"	2	4	1	50	0.1	0.1	50	1082	0.096	1	0.171888410954971
"6"	2	2	1	50	0.1	0.1	50	1003	0.099	1	0.129952927084004
"7"	2	2	1	50	0.1	0.25	50	958	0.14	1	0.0855588609443292
"8"	2	4	1	50	0.1	0.25	50	993	0.135	1	0.0767986457255713
"9"	2	4	1	50	0.1	0.25	50	941	0.146	1	0.0396199517886223
"10"	2	2	1	50	0.1	0.1	50	1002	0.102	1	0.0216530463749895
"11"	2	4	1	50	0.1	0.5	50	940	0.209	1	0.0168858617907507
"12"	2	4	1	50	0.1	0.1	50	1276	0.091	2	Inf
"13"	2	4	1	50	0.1	0.5	50	937	0.217	2	Inf
"14"	2	4	1	50	0.1	0.5	50	937	0.217	2	Inf
"15"	2	4	1	50	0.1	0.1	50	1256	0.092	2	0.234177857415098
"16"	2	4	1	50	0.1	0.1	50	1131	0.093	2	0.231105495800066
"17"	2	4	1	50	0.1	0.25	50	993	0.138	2	0.0994612106302623
"18"	2	4	1	50	0.1	0.25	50	1021	0.133	2	0.0754176421963401
"19"	2	2	1	50	0.1	0.1	50	1065	0.1	2	0.0698151732194212
"20"	2	4	1	50	0.1	0.25	50	960	0.14	2	0.0631316606196201
"21"	2	4	1	50	0.1	0.1	50	1113	0.095	2	0.058524850638776
"22"	2	4	1	50	0.1	0.1	50	1088	0.099	2	0.0470810832215496
"23"	2	4	1	50	0.1	0.5	50	943	0.204	2	0.0393130621154598
"24"	2	4	1	50	0.1	0.25	50	955	0.15	2	0.0372398243799096
"25"	2	4	1	50	0.1	0.1	50	1037	0.109	2	0.0367079647769853
"26"	2	4	1	50	0.1	0.1	50	1045	0.102	2	0.0359442054774857
"27"	2	2	1	50	0.1	0.1	50	1095	0.096	2	0.0311054958000663
"28"	2	2	1	50	0.1	0.1	50	1094	0.098	2	0.0117506570903889
"29"	2	2	1	50	0.1	0.1	50	1041	0.104	2	0.0105980883743262
"30"	2	4	1	50	0.1	0.1	50	1043	0.103	2	0.0067585025763883
"31"	2	4	1	50	0.1	0.5	50	937	0.218	3	Inf
"32"	2	4	1	50	0.1	0.1	50	1457	0.091	3	Inf
"33"	2	4	1	50	0.1	0.1	50	1317	0.092	3	0.445468179995743
"34"	2	4	1	50	0.1	0.1	50	1181	0.093	3	0.277726244511872
"35"	2	4	1	50	0.1	0.1	50	1097	0.096	3	0.0910898048280675
