""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	2	1	50	0.1	0.1	50	1260	0.091	1	Inf
"2"	2	4	1	50	0.1	0.5	50	937	0.214	1	Inf
"3"	2	2	1	50	0.1	0.1	50	1109	0.093	1	0.252226682572131
"4"	2	4	1	50	0.1	0.1	50	1238	0.092	1	0.243855276769937
"5"	2	4	1	50	0.1	0.1	50	1082	0.096	1	0.171888410954971
"6"	2	2	1	50	0.1	0.1	50	1003	0.099	1	0.129952927084004
"7"	2	2	1	50	0.1	0.25	50	958	0.14	1	0.0855588609443292
"8"	2	4	1	50	0.1	0.25	50	993	0.135	1	0.0767986457255713
"9"	2	4	1	50	0.1	0.25	50	941	0.146	1	0.0396199517886223
"10"	2	2	1	50	0.1	0.1	50	1002	0.102	1	0.0216530463749895
"11"	2	4	1	50	0.1	0.5	50	940	0.209	1	0.0168858617907507
