""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	2835	0.097	1	Inf
"2"	2	3	1	50	0.1	0.75	50	2020	0.324	1	Inf
"3"	2	3	1	50	0.1	0.1	50	2615	0.101	1	0.144444217910586
"4"	2	3	1	50	0.1	0.1	50	2735	0.1	1	0.118130698361193
"5"	2	3	1	50	0.1	0.1	50	2465	0.102	1	0.102655778403883
"6"	2	3	1	50	0.1	0.1	50	2273	0.107	1	0.0932168966725923
"7"	2	3	1	50	0.1	0.1	50	2376	0.106	1	0.0809436842926563
"8"	2	4	1	50	0.1	0.1	50	2202	0.108	1	0.0518389626561548
"9"	2	3	1	50	0.1	0.1	50	2424	0.105	1	0.0482267495885143
"10"	2	2	1	50	0.1	0.25	50	2111	0.156	1	0.045226177939035
"11"	2	3	1	50	0.1	0.25	50	2180	0.155	1	0.0436078766868169
"12"	2	3	1	50	0.1	0.5	50	2026	0.246	1	0.0225505525552889
"13"	2	4	1	50	0.1	0.5	50	2042	0.234	1	0.0208459941799967
"14"	2	4	1	50	0.1	0.25	50	2191	0.151	1	0.0203729522755021
"15"	2	3	1	50	0.1	0.5	50	2070	0.233	1	0.0188777634625805
"16"	2	2	1	50	0.25	0.25	50	2077	0.203	1	0.0160075576922926
"17"	2	3	1	50	0.1	0.25	50	2098	0.163	1	0.0141100970235803
"18"	2	3	1	50	0.1	0.25	50	2085	0.169	1	0.012666270406671
"19"	2	2	1	50	0.1	0.5	50	2033	0.239	1	0.0107421484453722
"20"	2	3	1	50	0.1	0.5	50	2076	0.23	1	0.00924597943787017
"21"	2	3	1	50	0.1	0.25	50	2088	0.166	1	0.00803916387049826
"22"	2	3	1	50	0.1	0.1	50	2990	0.098	2	Inf
"23"	2	2	1	100	0.1	0.5	50	2020	0.484	2	Inf
"24"	2	3	1	50	0.1	0.1	50	2652	0.101	2	0.162770915980073
"25"	2	3	1	50	0.1	0.1	50	2784	0.1	2	0.146045071699273
"26"	2	3	1	50	0.1	0.1	50	2480	0.103	2	0.112444589600371
"27"	2	3	1	50	0.1	0.1	50	2925	0.099	2	0.11029267041859
"28"	2	3	1	50	0.1	0.1	50	2317	0.11	2	0.0950363338527058
"29"	2	2	1	50	0.1	0.1	50	2207	0.116	2	0.0683636710090594
"30"	2	3	1	50	0.1	0.1	50	2382	0.107	2	0.0679706129823243
"31"	2	2	1	50	0.1	0.1	50	2443	0.106	2	0.0530293109545762
"32"	2	3	1	50	0.1	0.75	50	2026	0.321	2	0.0479867979552357
"33"	2	3	1	50	0.1	0.25	50	2189	0.156	2	0.0363209141373072
"34"	2	3	1	50	0.1	0.25	50	2137	0.157	2	0.0307835989137876
"35"	2	3	1	50	0.1	0.5	50	2080	0.234	2	0.0245023160037545
"36"	2	2	1	50	0.1	0.5	50	2045	0.235	2	0.0238814607565377
"37"	2	3	1	50	0.1	0.5	50	2028	0.246	2	0.0184129551925612
"38"	2	4	1	50	0.1	0.25	50	2110	0.163	2	0.0181953519957154
"39"	2	3	1	50	0.1	0.25	50	2203	0.151	2	0.0169526613067013
"40"	2	2	1	50	0.1	0.25	50	2088	0.176	2	0.0151855665171805
"41"	2	3	1	100	0.1	0.1	50	2083	0.212	2	0.0149228743696369
"42"	2	2	1	50	0.1	0.25	50	2097	0.17	2	0.0141275444871112
"43"	2	2	1	50	0.1	0.25	50	2128	0.161	2	0.0126580367721957
"44"	2	3	1	50	0.1	0.5	50	2038	0.242	2	0.00752299340446671
"45"	2	3	1	50	0.1	0.5	50	2034	0.244	2	0.00607093315308209
"46"	2	3	1	50	0.1	0.25	50	2132	0.158	2	0.00553731522351965
"47"	2	3	1	100	0.1	0.5	50	2020	0.51	3	Inf
"48"	2	4	1	50	0.1	0.1	50	3193	0.098	3	Inf
"49"	2	2	1	50	0.1	0.1	50	2807	0.1	3	0.240145515766626
"50"	2	3	1	50	0.1	0.1	50	2596	0.103	3	0.0809436842926563
"51"	2	3	1	50	0.1	0.1	50	2528	0.104	3	0.0807774432918227
"52"	2	2	1	50	0.1	0.1	50	2679	0.102	3	0.079342830503969
"53"	2	2	1	50	0.1	0.1	50	2446	0.107	3	0.0724232448831882
"54"	2	3	1	50	0.1	0.1	50	2273	0.116	3	0.0720641015889346
"55"	2	3	1	50	0.1	0.1	50	2744	0.101	3	0.0686704719127203
"56"	2	3	1	50	0.1	0.25	50	2221	0.149	3	0.0484361191508849
"57"	2	4	1	50	0.1	0.1	50	2344	0.114	3	0.0480605085876808
"58"	2	3	1	50	0.1	0.1	50	2394	0.109	3	0.0459085894059001
"59"	2	2	1	50	0.1	0.25	100	2028	0.31	3	0.043359691419063
"60"	2	2	1	100	0.1	0.5	50	2026	0.459	3	0.036081942698609
"61"	2	2	1	50	0.1	0.25	50	2196	0.156	3	0.0318857296999742
"62"	2	4	1	50	0.1	0.25	50	2164	0.157	3	0.0297163630546627
"63"	2	4	1	50	0.1	0.1	50	2361	0.11	3	0.0275993387999439
"64"	2	2	1	50	0.1	0.5	50	2108	0.228	3	0.0245454445652915
"65"	2	2	1	50	0.1	0.25	50	2116	0.169	3	0.0178095474088752
"66"	2	3	1	50	0.1	0.5	50	2036	0.252	3	0.0170922410149484
"67"	2	3	1	50	0.1	0.25	50	2141	0.158	3	0.0167432917443308
"68"	2	3	1	50	0.1	0.5	50	2085	0.234	3	0.0163933622791327
"69"	2	3	1	50	0.1	0.5	50	2062	0.235	3	0.0144425790252475
"70"	2	3	1	50	0.1	0.5	50	2091	0.23	3	0.0133753431661226
"71"	2	2	1	100	0.1	0.5	50	2022	0.489	3	0.0125698192599609
"72"	2	2	1	50	0.1	0.5	50	2041	0.244	3	0.011223423984342
"73"	2	3	1	50	0.1	0.25	50	2119	0.163	3	0.0110746304470393
"74"	2	1	1	50	0.1	0.5	50	2058	0.243	3	0.00997249966085268
"75"	2	3	1	50	0.1	0.25	50	2134	0.161	3	0.00855533433652981
"76"	2	2	1	50	0.1	0.5	50	2038	0.246	3	0.00413759736272767
"77"	2	3	1	50	0.1	0.25	50	2134	0.161	3	0.00410270243566591
"78"	2	1	1	50	0.1	0.5	50	2060	0.24	3	0.00288667303923837
"79"	2	2	1	50	0.1	0.5	50	2059	0.242	3	0.00161830125221818
"80"	2	2	1	50	0.1	0.1	50	2876	0.1	4	Inf
"81"	2	2	1	100	0.1	0.5	50	2020	0.52	4	Inf
"82"	2	3	1	50	0.1	0.1	50	2756	0.101	4	0.104422873193403
"83"	2	2	1	50	0.1	0.1	50	2644	0.103	4	0.0809436842926563
"84"	2	2	1	50	0.1	0.25	50	2222	0.155	4	0.0743740281370735
"85"	2	3	1	50	0.1	0.1	50	2530	0.104	4	0.0622670567579711
"86"	2	3	1	50	0.1	0.75	50	2034	0.329	4	0.0621933461255261
"87"	2	3	1	50	0.1	0.1	50	2681	0.102	4	0.0601325850397214
"88"	2	3	1	50	0.1	0.1	50	2468	0.107	4	0.0572982543910757
"89"	2	2	1	50	0.1	0.25	50	2151	0.158	4	0.0555486070650857
"90"	2	2	1	50	0.1	0.1	50	2378	0.113	4	0.0539385394473428
"91"	2	2	1	50	0.1	0.25	50	2121	0.164	4	0.0525819501480878
"92"	2	3	1	50	0.1	0.25	50	2289	0.154	4	0.0517783866310869
"93"	2	4	1	50	0.1	0.1	50	2422	0.109	4	0.0491277444468056
"94"	2	4	1	50	0.1	0.5	50	2080	0.238	4	0.0451112991342137
"95"	2	2	1	100	0.1	0.5	50	2028	0.478	4	0.0425551477074817
"96"	2	3	1	50	0.1	0.5	50	2064	0.244	4	0.0412620750170358
"97"	2	3	1	50	0.1	0.25	50	2334	0.147	4	0.0391809258839591
"98"	2	4	1	50	0.1	0.1	50	2528	0.105	4	0.0336353770259642
"99"	2	2	1	50	0.1	0.25	50	2318	0.152	4	0.0252986260808606
"100"	2	2	1	900	0.1	0.25	50	2026	3.334	5	Inf
