""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	2835	0.097	1	Inf
"2"	2	3	1	50	0.1	0.75	50	2020	0.324	1	Inf
"3"	2	3	1	50	0.1	0.1	50	2615	0.101	1	0.144444217910586
"4"	2	3	1	50	0.1	0.1	50	2735	0.1	1	0.118130698361193
"5"	2	3	1	50	0.1	0.1	50	2465	0.102	1	0.102655778403883
"6"	2	3	1	50	0.1	0.1	50	2273	0.107	1	0.0932168966725923
"7"	2	3	1	50	0.1	0.1	50	2376	0.106	1	0.0809436842926563
"8"	2	4	1	50	0.1	0.1	50	2202	0.108	1	0.0518389626561548
"9"	2	3	1	50	0.1	0.1	50	2424	0.105	1	0.0482267495885143
"10"	2	2	1	50	0.1	0.25	50	2111	0.156	1	0.045226177939035
"11"	2	3	1	50	0.1	0.25	50	2180	0.155	1	0.0436078766868169
"12"	2	3	1	50	0.1	0.5	50	2026	0.246	1	0.0225505525552889
"13"	2	4	1	50	0.1	0.5	50	2042	0.234	1	0.0208459941799967
"14"	2	4	1	50	0.1	0.25	50	2191	0.151	1	0.0203729522755021
"15"	2	3	1	50	0.1	0.5	50	2070	0.233	1	0.0188777634625805
"16"	2	2	1	50	0.25	0.25	50	2077	0.203	1	0.0160075576922926
"17"	2	3	1	50	0.1	0.25	50	2098	0.163	1	0.0141100970235803
"18"	2	3	1	50	0.1	0.25	50	2085	0.169	1	0.012666270406671
"19"	2	2	1	50	0.1	0.5	50	2033	0.239	1	0.0107421484453722
"20"	2	3	1	50	0.1	0.5	50	2076	0.23	1	0.00924597943787017
"21"	2	3	1	50	0.1	0.25	50	2088	0.166	1	0.00803916387049826
