""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	300	0.1	0.75	900	16120.417125	45.291	1	Inf
"2"	2	4	1	50	0.1	0.1	50	149770.066336	0.078	1	Inf
"3"	2	4	1	300	0.1	0.75	900	16185.24918	44.963	1	0.513236423141196
"4"	2	4	1	200	0.1	0.75	900	16297.654182	22.146	1	0.511280490276408
"5"	2	3	1	150	0.1	0.75	900	16506.816695	15.032	1	0.17273295799689
"6"	2	4	1	200	0.1	0.75	900	16411.456545	21.923	1	0.158909132764699
"7"	2	4	3	50	0.1	0.1	50	139352.341426	0.079	1	0.154383068648115
"8"	2	4	1	150	0.1	0.75	800	16705.26888	12.455	1	0.111875289987851
"9"	2	4	1	100	0.1	0.75	900	16870.778116	7.59	1	0.111385002995757
"10"	2	4	3	50	0.1	0.1	50	129142.735368	0.08	1	0.105185209059129
"11"	2	4	1	50	0.1	0.25	100	91034.377623	0.202	1	0.0919726173834901
"12"	2	3	1	50	0.1	0.75	100	63200.657841	0.362	1	0.0900901723062314
"13"	2	4	1	50	0.1	0.25	100	81084.000889	0.206	1	0.0873227014327351
"14"	2	4	1	50	0.1	0.5	150	55621.459846	0.401	1	0.0763900625194128
"15"	2	4	1	50	0.1	0.25	50	118376.664648	0.097	1	0.0684706824804738
"16"	2	4	3	50	0.1	0.25	50	112725.668039	0.099	1	0.0571669432573862
"17"	2	4	1	50	0.1	0.75	1000	18802.194618	3.352	1	0.0499401746235502
"18"	2	4	1	100	0.1	0.5	800	18586.504807	5.235	1	0.0465190372985055
"19"	2	4	3	50	0.1	0.5	50	100512.420318	0.132	1	0.0446092077863194
"20"	2	4	1	50	0.1	0.5	100	76891.509829	0.262	1	0.0406136399570713
"21"	2	4	1	50	0.1	0.75	150	51233.092502	0.511	1	0.03939228653308
"22"	2	3	1	50	0.1	0.25	50	105458.500175	0.124	1	0.0388709163315531
"23"	2	4	1	50	0.1	0.75	100	67478.707743	0.339	1	0.0375946469575382
"24"	2	4	1	150	0.1	0.75	800	16595.227183	12.555	1	0.0364795054966901
"25"	2	4	1	50	0.1	0.5	100	74119.002504	0.264	1	0.0362448678457531
"26"	2	4	1	150	0.1	0.75	900	16568.264519	14.058	1	0.0358391048361953
