""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.5	200	699	1.255	1	Inf
"2"	4	4	1	50	0.1	0.1	50	1881	0.121	1	Inf
"3"	2	4	1	50	0.1	0.1	50	1395	0.122	1	0.401049965854769
"4"	2	4	1	50	0.1	0.5	150	707	0.929	1	0.137214033689961
"5"	2	3	1	50	0.1	0.1	50	1159	0.134	1	0.112561888231277
"6"	2	4	1	50	0.1	0.1	50	1281	0.133	1	0.0901291827908035
"7"	2	4	1	50	0.1	0.25	150	741	0.566	1	0.0842355736398816
"8"	2	1	1	50	0.1	0.5	100	713	0.694	1	0.0830511609378557
"9"	2	4	1	50	0.1	0.1	50	1293	0.128	1	0.0729285226496699
"10"	2	2	1	50	0.1	0.25	100	778	0.406	1	0.0701684498065103
"11"	2	4	1	50	0.1	0.25	50	1054	0.19	1	0.0611946562713408
"12"	2	3	1	50	0.1	0.5	50	950	0.296	1	0.0580682335533804
"13"	2	4	1	50	0.1	0.1	50	1094	0.148	1	0.0546252560892329
"14"	2	4	1	50	0.1	0.25	150	717	0.594	1	0.0481590029592533
"15"	2	2	1	50	0.1	0.1	50	1120	0.147	1	0.0473444969269292
"16"	2	4	1	50	0.1	0.25	100	810	0.389	1	0.0462810152515365
"17"	2	4	1	50	0.1	0.5	50	865	0.308	1	0.0405474618711587
"18"	2	2	1	50	0.1	0.25	50	962	0.217	1	0.0390642783974505
"19"	2	2	1	50	0.1	0.5	50	904	0.299	1	0.0378229569770089
"20"	2	4	1	50	0.1	0.25	50	975	0.199	1	0.0371613931254268
"21"	2	2	1	50	0.1	0.5	50	836	0.323	1	0.0354114500341452
"22"	2	4	1	50	0.1	0.25	50	1019	0.193	1	0.0314847484634646
"23"	2	4	1	50	0.1	0.25	50	1010	0.197	1	0.031257113589802
"24"	2	3	1	50	0.1	0.5	50	838	0.317	1	0.0231156100614614
"25"	2	4	1	50	0.1	0.5	50	894	0.306	1	0.0226532267243342
"26"	2	4	1	50	0.1	0.25	100	792	0.395	1	0.0154115923059413
"27"	2	4	1	50	0.1	0.25	100	789	0.401	1	0.0101973309811063
"28"	2	4	1	50	0.1	0.1	50	1291	0.132	1	0.0092903482813567
"29"	2	4	1	50	0.1	0.5	50	896	0.301	1	0.00838692237650808
"30"	2	4	1	50	0.1	0.25	100	791	0.4	1	0.00340385272023674
"31"	4	4	1	50	0.1	0.1	50	1729	0.122	2	Inf
"32"	2	3	1	100	0.25	0.5	150	699	2.139	2	Inf
"33"	2	3	1	50	0.1	0.5	200	703	1.256	2	0.211220265194628
"34"	2	4	1	50	0.1	0.1	50	1493	0.124	2	0.176861626451172
"35"	2	4	1	50	0.1	0.5	300	701	1.871	2	0.166390422262691
"36"	2	4	1	50	0.1	0.1	50	1470	0.126	2	0.115040974277259
"37"	2	3	1	50	0.1	0.1	50	1325	0.128	2	0.11209950489415
"38"	2	2	1	50	0.1	0.25	200	721	0.817	2	0.078967960391532
"39"	2	3	1	50	0.1	0.5	150	708	0.964	2	0.0764639767812429
"40"	2	3	1	50	0.1	0.25	100	791	0.409	2	0.0676858069656271
"41"	2	3	1	50	0.1	0.5	300	700	1.978	2	0.0623648417937627
"42"	2	4	1	50	0.1	0.25	150	725	0.605	2	0.0623079330753471
"43"	2	4	1	50	0.1	0.1	50	1134	0.15	2	0.0621016389710904
"44"	2	4	1	50	0.1	0.1	50	1234	0.134	2	0.0575240439335306
"45"	2	4	1	50	0.1	0.25	150	768	0.58	2	0.0554575460960619
"46"	2	4	1	50	0.1	0.1	50	1289	0.133	2	0.0500476610516731
"47"	2	4	1	50	0.1	0.25	50	1098	0.191	2	0.0455660994764398
"48"	2	3	1	50	0.1	0.25	50	1050	0.193	2	0.0443923571591168
"49"	2	3	1	50	0.1	0.1	50	1206	0.138	2	0.0412196961074437
"50"	2	4	1	50	0.1	0.5	50	919	0.301	2	0.040995618028682
"51"	2	4	1	50	0.1	0.5	150	719	0.934	2	0.0356959936262235
"52"	2	4	1	50	0.1	0.25	100	846	0.39	2	0.0345080241292966
"53"	2	4	1	50	0.1	0.5	50	961	0.299	2	0.0332951570680628
"54"	2	4	1	50	0.1	0.25	50	1081	0.192	2	0.0330639653994992
"55"	2	3	1	50	0.1	0.1	50	1174	0.145	2	0.0303572444798543
"56"	2	4	1	50	0.1	0.25	50	976	0.204	2	0.0301722911450034
"57"	2	4	1	50	0.1	0.25	50	967	0.247	2	0.0275082517641703
"58"	2	4	1	50	0.1	0.25	50	996	0.201	2	0.0267257568859549
"59"	2	3	1	50	0.1	0.5	50	848	0.319	2	0.0261282153425905
"60"	2	4	1	50	0.1	0.25	50	1018	0.199	2	0.026049965854769
"61"	2	4	1	50	0.1	0.1	50	1307	0.132	2	0.0255946961074437
"62"	2	4	1	50	0.1	0.1	50	1175	0.139	2	0.0233325745504211
"63"	2	4	1	50	0.1	0.25	150	739	0.597	2	0.0219809924880492
"64"	2	4	1	50	0.1	0.25	100	810	0.408	2	0.0199322786250854
"65"	2	3	1	50	0.1	0.5	50	878	0.312	2	0.0190288527202367
"66"	2	3	1	50	0.1	0.25	100	822	0.393	2	0.0185771397678124
"67"	2	4	1	50	0.1	0.5	50	897	0.307	2	0.0183495048941498
"68"	2	3	1	50	0.1	0.5	50	860	0.317	2	0.0169908092419759
"69"	2	4	1	50	0.1	0.5	50	903	0.306	2	0.0163114614158889
"70"	2	4	1	50	0.1	0.25	150	753	0.592	2	0.0160873833371272
"71"	2	4	1	50	0.1	0.5	50	966	0.295	2	0.0159131003869793
"72"	2	4	1	50	0.1	0.25	50	1014	0.2	2	0.0154009219212383
"73"	2	4	1	50	0.1	0.5	150	709	0.938	2	0.0143018722968359
"74"	2	3	1	50	0.1	0.5	50	871	0.313	2	0.0133664352378784
"75"	2	4	1	50	0.1	0.25	150	760	0.589	2	0.0120148531755065
"76"	2	4	1	50	0.1	0.25	100	819	0.405	2	0.00997680969724561
"77"	2	4	1	50	0.1	0.25	150	767	0.581	2	0.00748349647165946
"78"	2	2	1	50	0.1	0.25	100	821	0.397	2	0.00476966196221261
"79"	2	3	1	50	0.1	0.1	50	1563	0.124	3	Inf
"80"	2	3	1	100	0.1	1	150	699	3.095	3	Inf
"81"	2	4	1	100	0.25	0.25	150	704	1.574	3	0.419043791258821
"82"	2	4	1	50	0.1	0.5	150	719	0.992	3	0.164967704302299
"83"	2	4	1	50	0.1	0.5	200	708	1.281	3	0.142673713862964
"84"	2	3	1	50	0.1	0.5	100	727	0.613	3	0.12910454131573
"85"	2	3	1	50	0.1	0.1	50	1176	0.14	3	0.104235431368086
"86"	2	4	1	50	0.1	0.1	50	1428	0.128	3	0.100998748008195
"87"	2	3	1	50	0.1	0.5	50	934	0.302	3	0.0961401661734578
"88"	2	4	1	50	0.1	0.1	50	1490	0.127	3	0.0926224960163897
"89"	2	4	1	50	0.1	0.25	150	773	0.586	3	0.0919467049852037
"90"	2	4	1	50	0.1	0.25	50	1122	0.192	3	0.088379239699522
"91"	2	3	1	50	0.1	0.1	50	1256	0.134	3	0.087870618028682
"92"	2	4	1	50	0.1	0.1	50	1342	0.129	3	0.0860566526291828
"93"	2	3	1	50	0.1	0.25	100	796	0.415	3	0.0835491122239927
"94"	2	4	1	50	0.1	0.25	50	986	0.207	3	0.0816355565672661
"95"	2	3	1	50	0.1	0.5	50	880	0.313	3	0.0805009389938539
"96"	2	4	1	50	0.1	0.25	50	1064	0.194	3	0.0711216708399727
"97"	2	4	1	50	0.1	0.1	50	1303	0.133	3	0.0595620874117915
"98"	2	3	1	50	0.1	0.25	50	1022	0.206	3	0.055948383792397
"99"	2	4	1	50	0.1	0.25	100	847	0.396	3	0.0512854256772138
"100"	2	4	1	50	0.1	0.25	100	835	0.404	3	0.038971801730025
