""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.5	200	699	1.255	1	Inf
"2"	4	4	1	50	0.1	0.1	50	1881	0.121	1	Inf
"3"	2	4	1	50	0.1	0.1	50	1395	0.122	1	0.401049965854769
"4"	2	4	1	50	0.1	0.5	150	707	0.929	1	0.137214033689961
"5"	2	3	1	50	0.1	0.1	50	1159	0.134	1	0.112561888231277
"6"	2	4	1	50	0.1	0.1	50	1281	0.133	1	0.0901291827908035
"7"	2	4	1	50	0.1	0.25	150	741	0.566	1	0.0842355736398816
"8"	2	1	1	50	0.1	0.5	100	713	0.694	1	0.0830511609378557
"9"	2	4	1	50	0.1	0.1	50	1293	0.128	1	0.0729285226496699
"10"	2	2	1	50	0.1	0.25	100	778	0.406	1	0.0701684498065103
"11"	2	4	1	50	0.1	0.25	50	1054	0.19	1	0.0611946562713408
"12"	2	3	1	50	0.1	0.5	50	950	0.296	1	0.0580682335533804
"13"	2	4	1	50	0.1	0.1	50	1094	0.148	1	0.0546252560892329
"14"	2	4	1	50	0.1	0.25	150	717	0.594	1	0.0481590029592533
"15"	2	2	1	50	0.1	0.1	50	1120	0.147	1	0.0473444969269292
"16"	2	4	1	50	0.1	0.25	100	810	0.389	1	0.0462810152515365
"17"	2	4	1	50	0.1	0.5	50	865	0.308	1	0.0405474618711587
"18"	2	2	1	50	0.1	0.25	50	962	0.217	1	0.0390642783974505
"19"	2	2	1	50	0.1	0.5	50	904	0.299	1	0.0378229569770089
"20"	2	4	1	50	0.1	0.25	50	975	0.199	1	0.0371613931254268
"21"	2	2	1	50	0.1	0.5	50	836	0.323	1	0.0354114500341452
"22"	2	4	1	50	0.1	0.25	50	1019	0.193	1	0.0314847484634646
"23"	2	4	1	50	0.1	0.25	50	1010	0.197	1	0.031257113589802
"24"	2	3	1	50	0.1	0.5	50	838	0.317	1	0.0231156100614614
"25"	2	4	1	50	0.1	0.5	50	894	0.306	1	0.0226532267243342
"26"	2	4	1	50	0.1	0.25	100	792	0.395	1	0.0154115923059413
"27"	2	4	1	50	0.1	0.25	100	789	0.401	1	0.0101973309811063
"28"	2	4	1	50	0.1	0.1	50	1291	0.132	1	0.0092903482813567
"29"	2	4	1	50	0.1	0.5	50	896	0.301	1	0.00838692237650808
"30"	2	4	1	50	0.1	0.25	100	791	0.4	1	0.00340385272023674
