""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	2	1	50	0.1	1	150	1273	1.517	1	Inf
"2"	2	4	1	50	0.1	0.1	50	2457	0.118	1	Inf
"3"	2	3	1	50	0.1	0.5	150	1274	0.924	1	0.215332184461822
"4"	2	3	1	50	0.1	0.1	50	2110	0.124	1	0.153323388800356
"5"	2	4	1	50	0.1	0.1	50	2415	0.122	1	0.147669829151688
"6"	2	2	1	50	0.1	0.25	50	1578	0.195	1	0.126427750806063
"7"	2	3	1	50	0.1	0.25	50	1740	0.191	1	0.0987189464971772
"8"	2	4	1	50	0.1	0.25	50	1931	0.186	1	0.097549691781245
"9"	2	3	1	50	0.1	0.25	150	1316	0.595	1	0.0912444872697625
"10"	2	3	1	50	0.1	0.25	50	1792	0.187	1	0.0873719873006461
"11"	2	2	1	50	0.1	0.25	200	1292	0.797	1	0.0821474014502959
"12"	2	4	1	50	0.1	0.25	150	1408	0.569	1	0.0819624084299991
"13"	2	3	1	50	0.1	0.5	50	1541	0.299	1	0.0725530889819516
"14"	2	2	1	50	0.1	0.25	100	1416	0.401	1	0.0687099284734833
"15"	2	4	1	50	0.1	0.25	50	2008	0.185	1	0.0577524120125017
"16"	2	3	1	50	0.1	0.5	150	1284	0.906	1	0.0499786902864767
"17"	2	3	1	50	0.1	0.1	50	2026	0.142	1	0.0448841245722615
"18"	2	2	1	50	0.1	0.25	200	1291	0.801	1	0.0411218792078963
"19"	2	3	1	50	0.1	0.25	150	1363	0.57	1	0.0392858466441834
"20"	2	3	1	50	0.25	0.5	50	1536	0.351	1	0.0388309305859245
"21"	2	2	1	50	0.1	0.25	100	1423	0.389	1	0.0376604405242807
"22"	2	3	1	50	0.1	0.25	100	1490	0.388	1	0.0360427553150749
"23"	2	3	1	50	0.1	0.25	150	1325	0.575	1	0.0296850486108538
"24"	2	4	1	50	0.1	0.1	50	2072	0.138	1	0.0280031254246501
"25"	2	3	1	50	0.1	0.25	100	1512	0.374	1	0.0238875711867966
"26"	2	3	1	50	0.1	0.1	50	2080	0.131	1	0.0218612953835131
"27"	2	3	1	50	0.1	0.1	50	2437	0.121	1	0.0202114911858083
"28"	2	3	1	50	0.1	0.25	100	1498	0.382	1	0.00948127833574226
"29"	2	4	1	50	0.1	0.25	100	1505	0.38	1	0.00903284784246872
