""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	15600.441357	0.042	1	Inf
"2"	2	4	1	50	0.1	0.5	600	7544.365902	0.855	1	Inf
"3"	2	4	1	50	0.1	0.1	50	13227.888396	0.046	1	0.127789584676626
"4"	2	4	1	50	0.1	0.1	50	14402.388125	0.045	1	0.121469103446435
"5"	2	4	1	50	0.1	0.5	50	10457.817868	0.067	1	0.0977374671089015
"6"	2	4	1	50	0.1	0.1	50	14801.442398	0.043	1	0.0926130314535036
"7"	2	4	1	50	0.25	0.5	300	7619.153101	0.481	1	0.0895069986281717
"8"	2	4	1	50	0.1	0.5	600	7598.442341	0.85	1	0.0738586198837967
"9"	2	4	1	50	0.1	0.5	50	11152.389585	0.066	1	0.0667397241874057
"10"	2	4	1	50	0.1	0.25	50	12145.861172	0.053	1	0.0597554983768415
"11"	2	4	1	50	0.1	0.25	50	12753.695994	0.051	1	0.0551928713716292
"12"	2	4	1	50	0.1	0.5	50	9913.721086	0.08	1	0.0539253172067195
"13"	2	4	1	50	0.1	0.25	50	12523.889006	0.052	1	0.047074457191362
"14"	2	4	1	50	0.1	0.5	100	8954.679182	0.134	1	0.0440015966584861
"15"	2	4	1	50	0.1	0.9	200	7651.723673	0.381	1	0.0416203250469481
"16"	2	4	1	50	0.1	0.75	100	8156.34972	0.172	1	0.041249603293663
"17"	2	4	1	50	0.1	0.5	50	11321.554564	0.065	1	0.0376458334628509
"18"	2	4	1	50	0.1	0.25	50	11751.037243	0.054	1	0.0371957140566996
"19"	2	4	1	50	0.1	0.5	100	9255.061657	0.133	1	0.036417458567957
"20"	2	4	1	50	0.1	0.75	100	8492.660678	0.168	1	0.0359948228811816
"21"	2	4	1	50	0.1	0.25	200	7845.474207	0.226	1	0.0312258916912388
"22"	2	4	1	50	0.1	0.25	100	9414.356269	0.128	1	0.030229281225143
"23"	2	4	1	50	0.1	0.5	50	11637.530803	0.064	1	0.0283350918060236
"24"	2	4	1	50	0.1	0.5	200	7762.617631	0.313	1	0.0249118592183929
"25"	2	4	1	50	0.1	0.5	100	8696.693047	0.139	1	0.0239842890245281
"26"	2	3	1	50	0.1	0.5	200	7767.35142	0.293	1	0.0222113799642714
"27"	2	4	1	50	0.1	0.25	100	9598.664841	0.112	1	0.0218260993114287
"28"	2	4	1	50	0.1	0.5	150	8053.048445	0.209	1	0.018369750341433
"29"	2	4	1	50	0.1	0.25	100	9850.88816	0.107	1	0.0156086894250908
"30"	2	3	1	50	0.1	0.5	150	8007.80038	0.223	1	0.0153543449343515
"31"	2	3	1	50	0.1	0.5	100	8584.458668	0.155	1	0.012704014102262
"32"	2	4	1	50	0.1	0.25	50	11673.686878	0.058	1	0.0105437805108403
"33"	2	4	1	50	0.1	0.25	100	9658.089235	0.111	1	0.0104253985980287
"34"	2	4	1	50	0.1	0.25	100	9776.962994	0.108	1	0.00986776378210471
"35"	2	4	1	50	0.1	0.25	100	9727.219791	0.109	1	0.00968142903313727
"36"	2	4	1	50	0.1	0.5	100	8608.209562	0.147	1	0.00829045163000471
"37"	2	4	1	50	0.1	0.5	100	8661.533225	0.142	1	0.00825661148532295
"38"	2	4	1	50	0.1	0.5	150	8014.470401	0.213	1	0.00602680041349348
