""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.5	1	700	679.983695	1.953	1	Inf
"2"	2	4	1	50	0.1	0.1	50	2120.31206	0.046	1	Inf
"3"	2	4	1	50	0.1	1	700	680.227691	1.622	1	0.206023772682616
"4"	2	4	1	50	0.1	0.1	50	1970.342704	0.047	1	0.184772928659006
"5"	2	4	1	50	0.1	0.25	50	1687.150333	0.056	1	0.144915961647645
"6"	2	4	1	50	0.1	0.5	700	685.286896	1.117	1	0.140746142814771
"7"	2	4	1	50	0.1	0.5	600	686.609546	0.941	1	0.119946486548806
"8"	2	4	1	50	0.1	0.25	50	1569.136571	0.057	1	0.115594581971173
"9"	2	4	1	50	0.1	0.1	50	1820.411248	0.048	1	0.104049014769834
"10"	2	4	1	50	0.1	0.75	300	701.47667	0.601	1	0.0928143289854721
"11"	2	4	1	50	0.1	0.25	100	1338.125135	0.117	1	0.092161170230378
"12"	2	4	1	50	0.1	0.25	100	1210.808162	0.118	1	0.0919295323519165
"13"	2	4	1	50	0.1	0.25	50	1501.800401	0.063	1	0.0885055878949066
"14"	2	3	1	50	0.1	0.1	50	1803.78145	0.054	1	0.0838286319814668
"15"	2	4	1	50	0.1	0.5	100	1111.4852	0.151	1	0.0818256462653435
"16"	2	4	1	50	0.1	0.5	50	1432.606317	0.076	1	0.0792656045100608
"17"	2	4	1	50	0.1	0.5	100	1013.144156	0.152	1	0.0764919709827638
"18"	2	4	1	50	0.1	0.5	100	957.190938	0.158	1	0.0692435804156914
"19"	2	4	1	50	0.1	0.25	100	1134.856803	0.123	1	0.0555862203371283
"20"	2	4	1	50	0.1	0.5	150	905.109095	0.229	1	0.051142302805122
"21"	2	4	1	50	0.1	0.25	100	1190.497119	0.122	1	0.0478845143809447
"22"	2	2	1	50	0.1	0.5	600	685.475765	1.055	1	0.0435001266852606
"23"	2	4	1	50	0.1	0.5	50	1379.122732	0.079	1	0.0363808437889312
"24"	2	4	1	50	0.1	0.5	100	988.584798	0.155	1	0.035838278860124
"25"	2	4	1	50	0.1	0.5	200	763.986753	0.313	1	0.0339588749069093
"26"	2	4	1	50	0.1	0.75	200	755.028379	0.378	1	0.0320083597745806
"27"	2	4	1	50	0.1	0.5	150	813.599474	0.281	1	0.0316658217569228
"28"	2	3	1	50	0.1	0.5	50	1347.366821	0.084	1	0.031621678619877
"29"	2	4	1	50	0.1	0.5	300	715.106756	0.478	1	0.0297350927784421
"30"	2	4	1	50	0.1	0.75	300	709.729335	0.571	1	0.0297148185755772
"31"	2	4	1	50	0.1	0.75	200	729.00642	0.396	1	0.0266943250114928
"32"	2	4	1	50	0.1	0.5	300	728.05671	0.464	1	0.0245554202953702
"33"	2	4	1	50	0.1	0.5	200	802.097644	0.309	1	0.0242647743483378
"34"	2	4	1	50	0.1	0.5	150	831.525792	0.253	1	0.0228632534794915
"35"	2	4	1	50	0.1	0.5	150	852.846854	0.233	1	0.0219345564139387
"36"	2	3	1	50	0.1	0.5	50	1375.770156	0.082	1	0.0207265890134828
"37"	2	4	1	50	0.1	0.75	200	743.079286	0.392	1	0.0203561424292729
"38"	2	4	1	50	0.1	0.5	150	875.116694	0.232	1	0.0185328172482286
"39"	2	4	1	50	0.1	0.5	150	882.216832	0.231	1	0.017240086681414
"40"	2	4	1	50	0.1	0.5	150	902.382947	0.23	1	0.0145522873863821
"41"	2	4	1	50	0.1	0.5	200	783.846422	0.311	1	0.0139833823602052
"42"	2	4	1	50	0.1	0.5	150	840.210896	0.234	1	0.0128961122130737
"43"	2	4	1	50	0.1	0.5	200	785.558508	0.31	1	0.011700386323962
"44"	2	4	1	50	0.1	0.5	300	717.06989	0.467	1	0.0113532804822171
"45"	2	4	1	50	0.1	0.5	150	833.044468	0.236	1	0.00994525647136374
"46"	2	4	1	50	0.1	0.75	300	709.377996	0.586	1	0.00663315916027348
"47"	2	4	1	50	0.1	0.75	300	708.802375	0.596	1	0.00575838281824637
"48"	2	4	1	50	0.1	0.75	300	704.348797	0.597	1	0.00450000961010885
"49"	2	4	1	50	0.1	0.75	300	702.663386	0.599	1	0.00273507786483047
"50"	2	4	1	50	0.1	0.1	50	2165.479883	0.046	2	Inf
"51"	2	3	1	100	0.25	1	700	684.626595	4.169	2	Inf
"52"	2	2	1	50	0.25	0.5	700	686.593277	1.544	2	0.673129956560055
"53"	2	3	1	100	0.25	1	700	684.953364	4.168	2	0.637880844169723
"54"	2	4	1	50	0.1	0.1	50	2073.915736	0.047	2	0.164044744550168
"55"	2	4	1	50	0.1	0.75	300	712.234862	0.579	2	0.122166516478234
"56"	2	4	1	50	0.1	0.1	50	1899.31108	0.048	2	0.12206006177022
"57"	2	3	1	50	0.1	0.1	50	1832.243321	0.054	2	0.10906704715882
"58"	2	4	1	50	0.1	0.25	50	1701.343355	0.056	2	0.108712489461676
"59"	2	4	1	50	0.1	0.5	700	688.865906	1.146	2	0.100562986938062
"60"	2	4	1	50	0.1	0.25	100	1359.037798	0.116	2	0.0989459394129906
"61"	2	3	1	50	0.25	0.5	700	688.629924	1.402	2	0.0979281731066469
"62"	2	4	1	50	0.1	0.5	600	702.008779	0.932	2	0.0974067216477855
