""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	3	1	1000	0.25	1	700	553.918472	193.463	1	Inf
"2"	2	4	1	50	0.1	0.1	50	1484.382747	0.048	1	Inf
"3"	2	3	1	800	0.9	0.5	700	555.211397	118.03	1	0.720603465474727
"4"	2	3	1	100	0.9	0.75	700	556.770493	5.921	1	0.584433757113686
"5"	2	3	1	1000	0.25	0.5	900	554.817233	145.04	1	0.39088384188106
"6"	2	3	1	50	0.1	0.75	50	1020.772145	0.101	1	0.0837740557737981
"7"	2	4	1	50	0.1	0.1	50	1370.918034	0.051	1	0.0835059140942064
"8"	2	4	1	50	0.1	0.25	100	932.526913	0.122	1	0.0797496235161843
"9"	2	4	1	50	0.1	0.25	50	1296.852145	0.057	1	0.0686313367394741
"10"	2	4	1	50	0.1	0.5	50	1085.013914	0.079	1	0.067048431754013
"11"	2	4	1	50	0.1	0.25	50	1242.758621	0.059	1	0.0631544926347442
"12"	2	4	1	50	0.1	0.25	100	903.503317	0.125	1	0.0604074087960181
"13"	2	4	1	50	0.1	0.25	50	1176.921303	0.063	1	0.0585637218123155
"14"	2	3	1	50	0.1	0.25	50	1154.255379	0.07	1	0.0486483439332488
"15"	2	4	1	50	0.1	0.1	50	1419.782511	0.05	1	0.0484099271984858
"16"	2	4	1	50	0.1	0.5	100	843.812939	0.155	1	0.0458329593169951
"17"	2	4	1	50	0.1	0.1	50	1442.198718	0.049	1	0.0438739027906617
"18"	2	4	1	50	0.1	0.5	50	1055.600908	0.082	1	0.0437339082824152
"19"	2	4	1	50	0.1	0.5	100	761.852944	0.166	1	0.0431219689774404
"20"	2	4	1	50	0.1	0.25	150	726.48377	0.187	1	0.0403717403391204
"21"	2	4	1	50	0.1	0.25	50	1269.894261	0.058	1	0.0367398450032233
"22"	2	4	1	50	0.1	0.5	100	836.246307	0.157	1	0.0316452619123937
"23"	2	4	1	50	0.1	0.5	100	797.230097	0.158	1	0.0315619040861397
"24"	2	4	1	50	0.1	0.5	100	789.809074	0.163	1	0.0240624498684571
"25"	2	4	1	50	0.9	0.5	700	561.267987	1.999	1	0.0236954438161444
"26"	2	4	1	50	0.1	0.5	150	702.958774	0.24	1	0.0234642711562487
"27"	2	3	1	100	0.9	0.5	700	558.685541	5.448	1	0.0233314399124573
"28"	2	4	1	50	0.1	0.5	200	647.279986	0.321	1	0.0229298862542819
"29"	2	3	1	50	0.1	0.5	150	673.642133	0.263	1	0.020163429032326
"30"	2	4	1	50	0.1	0.5	150	692.337853	0.241	1	0.0200249154719119
"31"	2	3	1	50	0.1	0.75	150	663.175096	0.311	1	0.0181997719940466
"32"	2	4	1	50	0.1	0.5	300	606.599464	0.478	1	0.018055299931592
"33"	2	3	1	50	0.1	0.75	200	628.747944	0.411	1	0.0163483980808885
"34"	2	3	1	50	0.1	0.25	50	1156.546739	0.064	1	0.0154263547369811
"35"	2	4	1	50	0.1	0.5	200	629.488774	0.322	1	0.0130485778002158
"36"	2	4	1	50	0.1	0.75	300	580.916698	0.592	1	0.0117402745743411
"37"	2	4	1	50	0.1	0.5	300	595.515717	0.483	1	0.0104774423716581
"38"	2	4	1	50	0.1	0.5	300	587.282091	0.484	1	0.0104762894226699
"39"	2	4	1	50	0.1	0.5	400	571.255558	0.65	1	0.00994559799718833
"40"	2	4	1	50	0.1	0.5	300	602.697557	0.482	1	0.00755171572016422
"41"	2	4	1	50	0.1	0.5	700	567.006148	1.143	1	0.00568461151404645
"42"	2	4	1	50	0.1	0.75	400	568.043452	0.825	1	0.00543427282692553
"43"	2	4	1	50	0.5	0.5	700	564.594788	1.641	1	0.00498577924467115
"44"	2	3	1	50	0.1	0.5	900	565.762999	1.625	1	0.00421208796662766
