""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	335890.224043	0.048	1	Inf
"2"	2	3	1	800	0.25	1	800	108280.456581	145.811	1	Inf
"3"	2	3	1	800	0.1	1	800	108304.514278	132.057	1	0.737829717015944
"4"	2	2	1	600	0.1	1	400	108761.418686	38.486	1	0.727724682386654
"5"	2	4	1	600	0.1	0.5	400	108809.507202	20.454	1	0.157317066546818
"6"	2	2	1	100	0.1	0.75	700	108897.637037	3.326	1	0.129172091103323
"7"	2	4	1	800	0.25	1	150	108794.221854	26.209	1	0.123860813321527
"8"	2	4	1	50	0.1	0.25	100	211138.642338	0.12	1	0.079974302597195
"9"	2	4	1	50	0.1	0.1	50	306204.743597	0.056	1	0.0792836229454873
"10"	2	4	1	50	0.1	0.25	50	292736.119895	0.058	1	0.0769172444266471
"11"	2	3	1	50	0.1	0.25	50	258460.049569	0.068	1	0.0668899305873728
"12"	2	4	1	50	0.1	0.5	50	238099.605092	0.078	1	0.0655001933763453
"13"	2	2	1	50	0.1	0.75	50	227403.843458	0.106	1	0.055884983269892
"14"	2	4	1	50	0.1	0.5	100	181720.222495	0.158	1	0.052350593462159
"15"	2	3	1	50	0.1	0.25	100	191291.183293	0.132	1	0.0517119281105143
"16"	2	3	1	50	0.1	0.1	50	317619.960893	0.053	1	0.0506720812689597
"17"	2	3	1	50	0.1	0.25	50	269337.699876	0.064	1	0.0457001135538751
"18"	2	4	1	50	0.1	0.25	100	202326.828509	0.122	1	0.0422396822983022
"19"	2	4	1	50	0.1	0.1	50	329041.457797	0.049	1	0.040041510506211
"20"	2	4	1	50	0.1	0.5	150	154954.488203	0.236	1	0.0391153058018237
"21"	2	3	1	50	0.1	0.25	50	273417.779455	0.062	1	0.0389769332037444
"22"	2	4	1	50	0.1	0.5	150	149345.883494	0.237	1	0.0374879536718449
"23"	2	4	1	50	0.1	0.5	100	174911.553232	0.159	1	0.0364358806741839
"24"	2	4	1	50	0.1	0.25	50	282059.623859	0.059	1	0.0355828254016354
"25"	2	4	1	50	0.1	0.25	100	197884.236225	0.124	1	0.0352146009390475
"26"	2	4	1	50	0.1	0.5	150	161623.561245	0.235	1	0.0350021119322294
"27"	2	4	1	50	0.1	0.25	50	259074.663246	0.065	1	0.0346702607173969
"28"	2	3	1	50	0.1	0.5	50	236083.11903	0.086	1	0.0296793847050504
"29"	2	3	1	50	0.1	0.5	50	228615.126062	0.087	1	0.0277787091193583
"30"	2	4	1	50	0.1	0.25	50	281567.621123	0.06	1	0.0275428717663803
"31"	2	4	1	50	0.1	0.5	200	129277.927489	0.319	1	0.0237722018828098
"32"	2	4	1	50	0.1	0.1	50	323323.877367	0.051	1	0.0221056337122069
"33"	2	4	1	50	0.1	0.5	150	143192.098155	0.24	1	0.0213097081623099
"34"	2	4	1	50	0.1	0.5	200	133954.2337	0.318	1	0.0206313819211472
"35"	2	4	1	50	0.1	0.75	100	165882.484345	0.207	1	0.0193873295383791
"36"	2	4	1	50	0.1	0.5	300	115307.429999	0.483	1	0.0185445093459214
