""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	3	4	1	50	0.1	0.1	50	135933.172454	0.051	1	Inf
"2"	2	2	1	800	0.25	0.75	900	21322.736576	176.836	1	Inf
"3"	2	4	1	800	0.1	1	200	21384.958777	44.445	1	0.752240682251172
"4"	2	4	1	50	0.1	0.1	50	105881.198043	0.052	1	0.331584819925805
"5"	2	4	1	150	1	0.75	900	21461.943569	13.902	1	0.198622483060052
"6"	2	4	1	800	0.1	1	200	21454.257383	44.054	1	0.173440891301367
"7"	2	4	1	50	0.1	0.25	50	90607.980741	0.064	1	0.123548599347205
"8"	2	4	1	50	0.1	0.25	50	78183.518702	0.065	1	0.114902717635071
"9"	2	4	1	50	0.1	0.1	50	97932.036624	0.054	1	0.113876677679837
"10"	2	4	1	50	0.1	0.25	100	64627.015563	0.135	1	0.0677651829139763
"11"	2	4	1	50	0.1	0.9	50	70725.685783	0.121	1	0.0593290872391448
"12"	2	4	1	150	0.1	0.9	900	21615.993475	9.19	1	0.0507068482961512
"13"	2	4	1	50	0.1	0.1	50	92831.68729	0.055	1	0.0488235682960027
"14"	2	4	1	50	0.1	0.25	100	58121.750062	0.141	1	0.0444664169074503
"15"	2	4	1	150	0.1	0.9	500	21626.749062	5.192	1	0.0391209935355596
"16"	2	4	1	50	0.1	0.5	100	50521.817719	0.179	1	0.0367919517526327
"17"	2	4	1	50	0.1	0.25	100	60921.357065	0.139	1	0.0331365455528167
"18"	2	4	1	50	0.1	0.5	100	53993.53205	0.178	1	0.0317056153945514
"19"	2	4	1	50	0.1	0.5	100	55848.380588	0.175	1	0.0300871911462888
"20"	2	4	1	50	0.1	0.25	150	47206.947924	0.212	1	0.0293746893429332
"21"	2	4	1	50	0.1	0.5	50	73709.043813	0.092	1	0.028677598676296
"22"	2	4	1	50	0.1	0.5	150	43381.745413	0.267	1	0.0254953452086604
"23"	2	4	1	50	0.1	0.5	200	35818.384533	0.359	1	0.0238083999098413
"24"	2	4	1	50	0.1	0.25	100	62968.813193	0.136	1	0.0236571946994072
"25"	2	4	1	50	0.1	0.25	150	48761.702608	0.208	1	0.022614736760389
"26"	2	4	1	50	0.1	0.5	150	39036.363929	0.273	1	0.0224239961922254
"27"	2	4	1	50	0.1	0.5	200	37347.744631	0.358	1	0.0210912409003513
"28"	2	4	1	50	0.1	0.5	200	32580.132482	0.368	1	0.0209087477580669
"29"	2	4	1	50	0.1	0.25	150	45398.298179	0.213	1	0.0206499011703265
"30"	2	4	1	50	0.25	0.75	900	21657.488075	2.338	1	0.0204801727563737
"31"	2	3	1	50	0.1	0.5	50	71728.444865	0.093	1	0.0201567401676821
"32"	2	4	1	50	0.1	0.5	50	76008.923154	0.088	1	0.0197380763175686
"33"	2	4	1	50	0.1	0.1	50	92340.884309	0.061	1	0.0194532135629187
"34"	2	4	1	50	0.1	0.5	50	77453.841183	0.087	1	0.0191039020569903
"35"	2	4	1	50	0.1	0.5	150	40749.282369	0.272	1	0.0184931637499916
"36"	2	4	1	50	0.1	0.5	150	44874.613866	0.265	1	0.0179003000060785
"37"	2	4	1	50	0.1	0.25	100	61916.950775	0.137	1	0.0178814522824622
"38"	2	4	1	50	0.1	0.5	200	34604.259488	0.363	1	0.0178465781309955
"39"	2	4	1	50	0.1	0.5	600	22262.700864	1.106	1	0.0169510336696379
"40"	2	4	1	50	0.1	0.75	200	31326.803524	0.493	1	0.0169254588476474
"41"	2	4	1	50	0.1	0.25	150	49795.591241	0.207	1	0.0155214131727514
"42"	2	4	1	50	0.1	0.75	150	38220.101548	0.335	1	0.0152143662224713
"43"	2	4	1	50	0.1	0.5	150	41954.526151	0.268	1	0.0150949732534945
"44"	2	4	1	50	0.1	0.5	100	54696.134613	0.176	1	0.0147923849356479
"45"	2	4	1	50	0.1	0.5	600	23764.91056	1.097	1	0.0141009215661109
"46"	2	4	1	50	0.1	0.5	300	30382.166095	0.539	1	0.0134414431697939
"47"	2	4	1	50	0.1	0.5	50	75013.252037	0.09	1	0.0129643461246958
"48"	2	4	1	50	0.1	0.5	400	25203.432785	0.739	1	0.0118434716401045
"49"	2	4	1	50	0.1	0.75	200	32261.708032	0.446	1	0.0116426305958791
"50"	2	4	1	50	0.1	0.75	300	27752.902796	0.663	1	0.0114258126241877
"51"	2	4	1	50	0.1	0.75	400	24525.712524	0.893	1	0.0109815463119794
"52"	2	4	1	50	0.1	0.5	200	34620.998452	0.361	1	0.0106161210537118
"53"	2	4	1	50	0.1	0.75	300	27196.541543	0.665	1	0.0104944983762646
"54"	2	4	1	50	0.1	0.75	300	26552.068675	0.666	1	0.00895828207862092
