""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	116731.337284	0.053	1	Inf
"2"	2	4	1	100	0.1	0.5	1000	20873.730243	4.005	1	Inf
"3"	2	4	1	50	0.1	0.1	50	97601.265774	0.054	1	0.198867863064847
"4"	2	4	1	50	0.1	0.25	50	81432.41077	0.066	1	0.0945882140937269
"5"	2	4	1	50	0.1	0.25	50	88917.965955	0.065	1	0.0878050603394607
"6"	2	4	1	50	0.1	0.75	50	66461.982778	0.113	1	0.0618646884619772
"7"	2	4	1	50	0.1	0.25	100	61199.60435	0.135	1	0.0595434488834654
"8"	2	4	1	50	0.1	0.25	50	78110.655176	0.069	1	0.0556056014619337
"9"	2	4	1	50	0.1	0.1	50	93992.80644	0.055	1	0.0538449192387901
"10"	2	4	1	50	0.1	0.5	50	75124.821097	0.086	1	0.0517384491285295
"11"	2	4	1	50	0.1	0.75	100	45947.684631	0.223	1	0.0450170087109831
"12"	2	4	1	50	0.1	0.75	1000	21276.605648	2.242	1	0.0446554757726371
"13"	2	4	1	50	0.1	0.1	50	91458.780043	0.06	1	0.0446001584731339
"14"	2	4	1	50	0.1	0.25	100	56991.191998	0.144	1	0.0444856160266241
"15"	2	4	1	50	0.1	0.5	150	37878.658804	0.271	1	0.0440826921801081
"16"	2	4	1	100	0.1	0.5	1000	20891.991689	3.988	1	0.0434465982012122
"17"	2	4	1	50	0.1	0.75	50	68212.660938	0.111	1	0.0376660695932763
"18"	2	4	1	50	0.1	0.5	150	42410.53416	0.265	1	0.0375047179657093
"19"	2	4	1	50	0.1	0.5	100	53850.90897	0.176	1	0.0352447403794999
"20"	2	4	1	50	0.1	0.5	150	41137.746045	0.269	1	0.0341367101993893
"21"	2	4	1	50	0.1	0.75	50	70756.748989	0.108	1	0.0336939157687841
"22"	2	4	1	50	0.1	0.5	300	29222.110461	0.537	1	0.0314485953028586
"23"	2	4	1	50	0.1	0.5	100	51827.030816	0.178	1	0.0302224108492643
"24"	2	4	1	50	0.1	0.75	200	31413.110572	0.443	1	0.0275091795562131
"25"	2	4	1	50	0.1	0.5	50	72242.746157	0.088	1	0.0273111936980323
"26"	2	4	1	50	0.1	0.25	150	47424.273696	0.213	1	0.0268823267932027
"27"	2	4	1	50	0.1	0.5	200	32918.58699	0.362	1	0.0265653249422678
"28"	2	4	1	50	0.1	0.5	100	49594.624899	0.179	1	0.0246088921132188
"29"	2	4	1	50	0.1	0.25	100	58847.903022	0.141	1	0.0239698458794737
"30"	2	4	1	50	0.1	0.25	100	59714.396942	0.137	1	0.0206988241471209
"31"	2	4	1	50	0.1	0.5	200	34947.985648	0.36	1	0.0200447987197062
"32"	2	4	1	50	0.1	0.5	300	27003.500489	0.581	1	0.019203147929776
"33"	2	4	1	50	0.1	0.5	700	21810.657506	1.286	1	0.0190368390588801
"34"	2	4	1	50	0.1	0.5	200	36321.505849	0.356	1	0.0184992134638248
"35"	2	4	1	50	0.1	0.5	400	25469.846427	0.722	1	0.017889866735352
"36"	2	4	1	50	0.1	0.5	100	53045.859664	0.177	1	0.0177418018437806
"37"	2	2	1	50	0.1	0.5	400	25377.243579	0.829	1	0.0152030077144294
"38"	2	4	1	50	0.1	0.25	300	32072.978854	0.423	1	0.0149979584725829
"39"	2	4	1	50	0.1	0.75	400	24000.942587	0.883	1	0.0148568417803917
"40"	2	4	1	50	0.1	0.25	150	48993.618731	0.212	1	0.0146807982787355
"41"	2	4	1	50	0.1	0.5	1000	21643.58546	1.841	1	0.0142253839399938
"42"	2	4	1	50	0.1	0.5	50	72024.659495	0.095	1	0.0134462627410263
"43"	2	4	1	50	0.1	0.75	1000	21459.020188	2.235	1	0.0120933326882864
"44"	2	4	1	50	0.1	0.5	700	22367.836042	1.28	1	0.0118305951120577
"45"	2	4	1	50	0.1	0.5	300	28080.628779	0.545	1	0.01157920702624
"46"	2	4	1	50	0.1	0.5	150	41774.966236	0.268	1	0.0112196651927359
"47"	2	4	1	50	0.1	0.5	500	23898.265573	0.914	1	0.0105801620029328
"48"	2	4	1	50	0.1	0.5	1000	21634.083656	1.846	1	0.0105361167333433
"49"	2	4	1	50	0.1	0.5	600	23334.804485	1.093	1	0.0102046974677983
"50"	2	4	1	50	0.1	0.5	200	35988.297262	0.358	1	0.00984572628409776
"51"	2	4	1	50	0.1	0.5	200	35203.259685	0.359	1	0.00914163190585865
"52"	2	4	1	50	0.1	0.5	300	27223.165259	0.551	1	0.0088164114246289
"53"	2	4	1	50	0.1	0.5	600	22681.95938	1.1	1	0.00799410065237648
"54"	2	4	1	50	0.1	0.5	300	27921.152341	0.546	1	0.00763341519525882
"55"	2	4	1	50	0.1	0.25	150	49087.717824	0.207	1	0.00600241443026724
"56"	2	4	1	50	0.1	0.5	600	23205.141414	1.097	1	0.00469563516223148
"57"	2	4	1	50	0.1	0.5	600	22810.73308	1.098	1	0.00464256774440028
"58"	2	4	1	50	0.1	0.5	400	25452.173641	0.772	1	0.00323276862550684
