""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	105132.316639	0.053	1	Inf
"2"	2	3	1	100	0.1	0.9	1000	21525.660558	6.143	1	Inf
"3"	2	3	1	100	0.1	0.9	500	21753.093412	3.11	1	0.209097015253556
"4"	2	4	1	50	0.1	0.1	50	98748.6454	0.054	1	0.173626263370144
"5"	2	4	1	50	0.1	0.1	50	89731.322123	0.056	1	0.112030009294837
"6"	2	4	1	50	0.1	0.25	50	85640.81389	0.065	1	0.0870525451144123
"7"	2	4	1	50	0.25	0.5	1000	21900.444936	2.169	1	0.0698420110845863
"8"	2	4	1	50	0.1	0.25	100	63840.5208	0.136	1	0.0673046203837856
"9"	2	4	1	50	0.1	0.25	50	80820.593525	0.066	1	0.0670278353825636
"10"	2	4	1	50	0.1	0.5	300	27231.501063	0.544	1	0.0619702493663351
"11"	2	4	1	50	0.25	0.9	1000	21863.706651	2.759	1	0.0587451151172621
"12"	2	4	1	50	0.1	0.5	900	22188.396377	1.668	1	0.058016792957075
"13"	2	4	1	50	0.1	0.25	100	59617.412509	0.137	1	0.0574471971608934
"14"	2	4	1	50	0.1	0.5	50	73459.635584	0.091	1	0.0533253507742926
"15"	2	4	1	50	0.1	0.5	300	30686.695501	0.538	1	0.053033989659864
"16"	2	4	1	50	0.1	0.5	50	69855.094935	0.094	1	0.051627606302016
"17"	2	4	1	50	0.1	0.25	50	78368.257677	0.075	1	0.0456565834047944
"18"	2	4	1	50	0.1	0.5	150	37204.293407	0.276	1	0.0455316670792213
"19"	2	3	1	50	0.1	0.25	50	75669.08023	0.078	1	0.0437015637491377
"20"	2	4	1	50	0.1	0.5	100	47080.767957	0.184	1	0.0435416919222114
"21"	2	4	1	50	0.1	0.5	100	50152.453527	0.183	1	0.0401450096033985
"22"	2	4	1	50	0.1	0.9	50	66522.116608	0.129	1	0.0397479181161642
"23"	2	3	1	50	0.1	0.9	50	69074.668573	0.128	1	0.0396588982433454
"24"	2	4	1	50	0.1	0.5	200	35003.078981	0.361	1	0.0395555461477147
"25"	2	4	1	50	0.1	0.5	150	43643.275472	0.27	1	0.0394324161831838
"26"	2	4	1	50	0.1	0.5	150	41864.84938	0.271	1	0.0369402459935423
"27"	2	4	1	50	0.1	0.25	50	88539.656142	0.064	1	0.0362562292188708
"28"	2	4	1	50	0.1	0.5	150	40354.177326	0.273	1	0.0359388354120835
"29"	2	4	1	50	0.1	0.5	100	52116.091067	0.178	1	0.0358884767850206
"30"	2	4	1	50	0.1	0.5	100	54770.424361	0.177	1	0.0329239658043859
"31"	2	4	1	50	0.1	0.5	150	45350.092975	0.268	1	0.0312697205043572
"32"	2	4	1	50	0.1	0.9	50	65582.956934	0.135	1	0.0306244847085928
"33"	2	4	1	50	0.1	0.5	200	36779.836733	0.36	1	0.0299463447924236
"34"	2	4	1	50	0.1	0.5	700	22591.826939	1.341	1	0.0292013434477919
"35"	2	3	1	50	0.1	0.25	100	56452.928465	0.157	1	0.0275977298334864
"36"	2	3	1	50	0.1	0.25	100	57844.966236	0.152	1	0.0270249997608711
"37"	2	4	1	50	0.1	0.75	200	31439.690397	0.451	1	0.0267822927929389
"38"	2	4	1	50	0.1	0.5	50	74557.802285	0.088	1	0.0256711607289834
"39"	2	4	1	50	0.1	0.5	400	26164.430509	0.72	1	0.0241113667815824
"40"	2	4	1	50	0.1	0.5	500	24381.221319	0.91	1	0.0230244861025502
"41"	2	4	1	50	0.1	0.5	400	25179.815194	0.746	1	0.0225469740724811
"42"	2	4	1	50	0.1	0.5	200	33294.43329	0.365	1	0.0220721740821873
"43"	2	4	1	50	0.1	0.5	600	23558.289951	1.093	1	0.0217127099120588
"44"	2	4	1	50	0.1	0.25	100	58766.427104	0.141	1	0.0208710639582181
"45"	2	4	1	50	0.1	0.5	500	24029.55377	0.912	1	0.020369434895303
"46"	2	4	1	50	0.1	0.75	200	32580.024023	0.448	1	0.0174656613034979
"47"	2	3	1	50	0.1	0.25	100	55453.678283	0.163	1	0.0171909720126132
"48"	2	4	1	50	0.1	0.5	150	40373.93754	0.272	1	0.0171343486019369
"49"	2	4	1	50	0.1	0.5	100	51599.865083	0.18	1	0.0163685562884799
"50"	2	4	1	50	0.1	0.25	50	79685.452167	0.071	1	0.0154815239079272
"51"	2	4	1	50	0.1	0.5	700	22820.557236	1.304	1	0.01513270284477
"52"	2	4	1	50	0.1	0.1	50	88844.027768	0.062	1	0.0139057273965757
"53"	2	4	1	50	0.1	0.25	150	46172.082079	0.224	1	0.0138286747097389
"54"	2	4	1	50	0.1	0.25	50	79710.620091	0.069	1	0.0130871587859112
"55"	2	4	1	50	0.1	0.5	600	22863.574484	1.142	1	0.0122124023943055
"56"	2	4	1	50	0.1	0.5	400	25435.214609	0.734	1	0.0112487960114782
"57"	2	4	1	50	0.1	0.5	100	50678.804331	0.181	1	0.010991213697138
"58"	2	4	1	50	0.1	0.25	150	46415.44813	0.207	1	0.0107578428798429
"59"	2	4	1	50	0.1	0.5	400	26092.46485	0.73	1	0.00906165590049782
"60"	2	4	1	50	0.1	0.5	600	23195.081062	1.115	1	0.00889615169035059
"61"	2	4	1	50	0.1	0.5	100	55023.41641	0.175	1	0.00854403727175724
"62"	2	4	1	50	0.1	0.75	200	32942.074186	0.442	1	0.00770111412371576
"63"	2	3	1	50	0.1	0.5	200	33075.308942	0.413	1	0.00605248606100004
"64"	2	4	1	50	0.1	0.5	100	50634.673071	0.182	1	0.00604903335146569
"65"	2	4	1	50	0.1	0.5	200	33129.366803	0.377	1	0.005379668354911
"66"	2	4	1	50	0.1	0.5	600	23016.145764	1.139	1	0.0053713417636313
"67"	2	4	1	50	0.1	0.25	150	46287.126908	0.214	1	0.00377206418654488
"68"	2	2	1	200	0.1	1	900	21558.643915	16.515	2	Inf
"69"	2	4	1	50	0.1	0.1	50	108328.867042	0.053	2	Inf
"70"	2	4	1	100	0.25	0.9	1000	21785.400362	6.566	2	0.734559361143374
"71"	2	3	1	200	0.1	1	900	21639.842893	16.189	2	0.606108667999705
"72"	2	4	1	100	0.1	0.5	1000	22116.443055	4.169	2	0.156226510003956
"73"	2	3	1	100	0.1	0.9	500	22822.361211	3.088	2	0.136019728566831
"74"	2	4	1	50	0.1	0.1	50	99270.392616	0.054	2	0.132714420904314
"75"	2	4	1	50	0.1	0.9	50	69880.601725	0.123	2	0.101966407883689
"76"	2	4	1	50	0.1	0.5	200	34125.070192	0.378	2	0.0913037411564428
"77"	2	4	1	50	0.1	0.25	50	86135.149314	0.072	2	0.090547226041175
"78"	2	4	1	50	0.1	0.5	1000	22837.899779	1.944	2	0.0878331445593737
"79"	2	4	1	50	0.1	0.25	50	80259.716128	0.073	2	0.0847378812329303
"80"	2	4	1	50	0.1	0.25	100	64629.845166	0.136	2	0.0841306845195072
"81"	2	4	1	50	0.1	0.5	300	29079.866312	0.563	2	0.0822270483342863
"82"	2	4	1	50	0.1	0.5	150	47354.099977	0.269	2	0.0795756089968927
"83"	2	4	1	50	0.1	0.5	200	36136.772862	0.368	2	0.079299763834908
"84"	2	4	1	50	0.1	0.5	150	42320.048317	0.279	2	0.0762965549675575
"85"	2	4	1	50	0.1	0.25	150	49068.151615	0.22	2	0.07609273382325
"86"	2	4	1	50	0.1	0.5	150	40670.917303	0.286	2	0.0750345279474002
"87"	2	4	1	100	0.1	0.5	1000	22707.814229	4.162	2	0.0735287139301818
"88"	2	4	1	50	0.1	0.5	100	54963.702202	0.182	2	0.0635243863019189
"89"	2	4	1	50	0.1	0.1	50	93781.703013	0.057	2	0.0629672853259003
"90"	2	4	1	50	0.1	0.1	50	91001.778574	0.062	2	0.0627065081781983
"91"	2	4	1	50	0.1	0.1	50	96560.642096	0.056	2	0.0619949998782711
"92"	2	3	1	50	0.1	0.5	400	26058.360693	0.811	2	0.0607649242595809
"93"	2	4	1	50	0.1	0.5	50	73457.71545	0.094	2	0.0597653736623107
"94"	2	3	1	50	0.1	0.25	100	59412.337601	0.163	2	0.0585029953906123
"95"	2	4	1	100	0.1	0.5	400	22902.308844	1.655	2	0.0571928685024502
"96"	2	4	1	50	0.1	0.5	100	53674.432827	0.188	2	0.0564285718460913
"97"	2	4	1	50	0.1	0.25	50	88289.089153	0.071	2	0.0554140804436604
"98"	2	3	1	50	0.1	0.9	500	24792.033472	1.364	2	0.0543263761141134
"99"	2	4	1	50	0.1	0.25	100	62512.56052	0.142	2	0.0531466047170702
"100"	2	4	1	50	0.1	0.5	400	28843.74277	0.753	2	0.0490727485904447
