""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	700	0.1	0.9	200	22387.392055	31.488	1	Inf
"2"	2	4	1	50	0.1	0.1	50	106437.354404	0.053	1	Inf
"3"	2	4	1	700	0.1	0.5	200	22404.783398	17.405	1	0.807427629205195
"4"	2	4	1	100	0.1	1	1000	22415.210033	6.114	1	0.393073085111654
"5"	2	4	1	100	0.1	0.75	1000	22561.761482	5.091	1	0.138069841281003
"6"	2	4	1	50	0.1	0.1	50	100601.129883	0.054	1	0.122650007439764
"7"	2	4	1	50	0.1	0.1	50	92120.651006	0.055	1	0.120545174095769
"8"	2	4	1	50	0.1	0.5	1000	22687.260478	1.847	1	0.112255877313834
"9"	2	4	1	50	0.1	0.25	50	78747.328928	0.071	1	0.0668000298430564
"10"	2	4	1	50	0.1	0.25	50	86567.399656	0.066	1	0.0628579182011986
"11"	2	4	1	50	0.1	0.9	50	66012.807685	0.128	1	0.0596337403992355
"12"	2	4	1	50	0.1	0.5	50	72710.167551	0.092	1	0.0584770427202901
"13"	2	4	1	50	0.1	0.75	150	38300.937986	0.331	1	0.0537294144386608
"14"	2	4	1	50	0.1	0.5	50	75948.056909	0.088	1	0.0523610755302226
"15"	2	4	1	50	0.1	0.25	50	83682.670599	0.07	1	0.052159775751002
"16"	2	4	1	50	0.1	0.5	100	54717.876293	0.178	1	0.0520243318069698
"17"	2	4	1	50	0.1	0.5	100	49242.733104	0.179	1	0.04717604032812
"18"	2	4	1	50	0.1	0.5	300	31581.523171	0.539	1	0.0450814303704408
"19"	2	4	1	50	0.1	0.5	100	55311.156256	0.177	1	0.0433804050339486
"20"	2	4	1	50	0.1	0.25	100	59661.613987	0.145	1	0.0416720564282753
"21"	2	4	1	50	0.1	0.25	100	62122.08492	0.136	1	0.0388343458960277
"22"	2	4	1	50	0.1	0.75	100	46435.804432	0.223	1	0.0369645257528454
"23"	2	4	1	50	0.1	0.5	200	34456.394328	0.359	1	0.0348986406913359
"24"	2	4	1	50	0.1	0.5	150	43144.915204	0.268	1	0.0331870713829463
"25"	2	4	1	50	0.1	0.5	50	69144.606312	0.095	1	0.0324261433151161
"26"	2	4	1	50	0.1	0.5	300	28338.984706	0.541	1	0.0293690976930615
"27"	2	4	1	50	0.1	0.75	200	33232.461583	0.441	1	0.0292529945793057
"28"	2	4	1	50	0.1	0.9	50	69042.048506	0.124	1	0.027865725974106
"29"	2	4	1	50	0.1	0.5	150	40449.023802	0.283	1	0.0269666125629243
"30"	2	4	1	50	0.1	0.25	50	84831.570401	0.069	1	0.0248276609182456
"31"	2	4	1	50	0.1	0.75	400	25006.466628	0.894	1	0.0192395647744163
"32"	2	4	1	50	0.1	0.25	150	47265.045874	0.215	1	0.0161206399969625
"33"	2	4	1	50	0.1	0.5	700	23082.649449	1.319	1	0.014797958273167
"34"	2	4	1	50	0.1	0.5	600	24324.326102	1.096	1	0.013126413668665
"35"	2	4	1	50	0.1	0.5	200	34396.072622	0.377	1	0.0130884482349696
"36"	2	4	1	50	0.1	0.5	700	23715.731862	1.292	1	0.0128826873296254
"37"	2	4	1	50	0.1	0.25	100	61088.383191	0.139	1	0.0126849695135029
"38"	2	4	1	50	0.1	0.25	150	48285.075689	0.214	1	0.0125596561194375
"39"	2	4	1	50	0.1	0.25	100	60044.23242	0.141	1	0.0124075426161054
"40"	2	4	1	50	0.1	0.75	700	23020.335478	1.57	1	0.0121978494244487
"41"	2	4	1	50	0.1	0.75	700	22765.221253	1.617	1	0.0116637795862475
"42"	2	4	1	50	0.1	0.5	150	42223.130089	0.27	1	0.0107915399273243
"43"	2	4	1	50	0.1	0.5	600	23799.569942	1.107	1	0.0105865143207364
"44"	2	4	1	50	0.1	0.75	400	25970.674841	0.882	1	0.00949692510900087
"45"	2	4	1	50	0.1	0.75	300	27955.680363	0.669	1	0.00918631869062561
"46"	2	4	1	50	0.1	0.5	100	48612.983874	0.183	1	0.00904986046338343
"47"	2	4	1	50	0.1	0.25	100	61514.54768	0.138	1	0.0089464780101075
"48"	2	4	1	50	0.1	0.5	400	26443.246941	0.763	1	0.00893950985383534
"49"	2	4	1	50	0.1	0.75	400	25817.095189	0.893	1	0.00863774674034473
"50"	2	4	1	50	0.1	0.5	150	42730.831008	0.269	1	0.00795638336682855
"51"	2	4	1	50	0.1	0.75	300	27337.537312	0.672	1	0.0078999262239289
"52"	2	4	1	50	0.1	0.25	200	41268.286432	0.282	1	0.00742404750856796
"53"	2	4	1	50	0.1	0.5	400	26457.421917	0.732	1	0.00708427778401465
"54"	2	4	1	50	0.1	0.5	400	27136.861694	0.727	1	0.00693300655401142
"55"	2	4	1	50	0.1	0.5	150	41477.931668	0.271	1	0.00665081113111559
"56"	2	3	1	50	0.1	0.5	300	28083.45399	0.584	1	0.00581260062940881
"57"	2	4	1	50	0.1	0.5	100	49215.678759	0.18	1	0.00551945738122003
"58"	2	4	1	50	0.1	0.5	600	24253.651167	1.104	1	0.00484313879451681
"59"	2	4	1	50	0.1	0.5	300	28210.988582	0.555	1	0.00355587683711712
"60"	2	4	1	50	0.1	0.5	400	27229.966242	0.722	1	0.0034679216486422
"61"	2	4	1	50	0.1	0.5	150	41297.492377	0.278	1	0.00190675185276401
"62"	2	4	1	50	0.1	0.5	150	41457.536291	0.273	1	0.00176768825373657
