""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	100	0.1	1	900	8110.334373	5.505	1	Inf
"2"	2	4	1	50	0.1	0.1	50	34740.645038	0.053	1	Inf
"3"	2	4	1	50	0.1	0.5	50	26121.311534	0.088	1	0.0690445078330304
"4"	2	4	1	50	0.1	0.5	1000	8178.499689	1.855	1	0.0671745023086197
"5"	2	4	1	50	0.1	0.25	100	21487.873922	0.137	1	0.0617589773171769
"6"	2	4	1	50	0.1	0.25	100	22543.86153	0.135	1	0.0611082770929036
"7"	2	4	1	50	0.1	0.1	50	33209.951545	0.054	1	0.0548886762509693
"8"	2	4	1	50	0.1	0.25	100	20265.887787	0.14	1	0.050050041395214
"9"	2	4	1	50	0.1	0.1	50	32715.802636	0.057	1	0.0483742500005875
"10"	2	4	1	50	0.1	0.25	100	23743.071046	0.134	1	0.0446164949735277
"11"	2	4	1	50	0.1	0.25	50	29501.108831	0.067	1	0.0418043466180322
"12"	2	4	1	50	0.1	0.25	50	27946.11266	0.07	1	0.041138810045361
"13"	2	4	1	50	0.1	0.1	50	31425.72472	0.058	1	0.0379009613912434
"14"	2	4	1	50	0.1	0.25	50	30518.621488	0.066	1	0.0376573559560677
"15"	2	4	1	50	0.1	0.5	50	27429.803837	0.087	1	0.0357654720857047
"16"	2	4	1	50	0.1	0.5	50	24880.846884	0.089	1	0.0338172298895035
"17"	2	4	1	50	0.1	0.5	150	14247.445546	0.27	1	0.0329000430208439
"18"	2	4	1	50	0.1	0.25	150	17050.316933	0.211	1	0.0328421546303984
"19"	2	4	1	50	0.1	0.5	150	15396.344627	0.266	1	0.0325378641439267
"20"	2	4	1	50	0.1	0.5	150	15210.816163	0.269	1	0.0311733863461553
"21"	2	4	1	50	0.1	0.5	100	18422.553691	0.178	1	0.0303280059872576
"22"	2	4	1	50	0.1	0.25	150	16379.932909	0.217	1	0.0294202063376079
"23"	2	4	1	50	0.1	0.25	50	28949.886678	0.069	1	0.0279118507205981
"24"	2	4	1	50	0.1	0.5	300	11371.99051	0.535	1	0.0273819888117559
"25"	2	4	1	50	0.1	0.25	100	19641.750393	0.141	1	0.0259746680279195
"26"	2	4	1	50	0.1	0.5	100	19298.202501	0.177	1	0.0245786347708354
"27"	2	4	1	50	0.1	0.75	150	13866.679151	0.331	1	0.022983961855249
"28"	2	4	1	50	0.1	0.25	50	30890.756066	0.065	1	0.0217387292295183
"29"	2	4	1	50	0.1	0.25	150	17658.958277	0.207	1	0.0209776377018558
"30"	2	4	1	50	0.1	0.5	300	10641.030585	0.536	1	0.0206856184403321
"31"	2	4	1	50	0.1	0.25	100	24190.550166	0.133	1	0.0201078794114084
"32"	2	4	1	50	0.1	0.75	150	13186.936023	0.333	1	0.0199377353125019
"33"	2	4	1	50	0.1	0.25	150	16449.050655	0.212	1	0.0182521154871422
"34"	2	4	1	50	0.1	0.5	400	9523.314531	0.73	1	0.0173266041075867
"35"	2	4	1	50	0.1	0.75	400	8956.364456	1.042	1	0.0157269053985922
"36"	2	4	1	50	0.1	0.75	500	8682.811669	1.116	1	0.0152507144868223
"37"	2	4	1	50	0.1	0.25	50	28975.801815	0.068	1	0.0149578348724458
"38"	2	4	1	50	0.1	0.25	50	31320.301432	0.064	1	0.0146029027080848
"39"	2	4	1	50	0.1	0.25	50	27431.649134	0.071	1	0.0142679365855513
"40"	2	4	1	50	0.1	0.75	50	24471.939064	0.112	1	0.0142012077122756
"41"	2	4	1	50	0.1	0.75	400	9248.816067	0.884	1	0.0132654536452515
"42"	2	4	1	50	0.1	0.75	300	9759.892589	0.679	1	0.012507460802726
"43"	2	4	1	50	0.1	0.5	300	10425.210482	0.549	1	0.0123737584769248
"44"	2	4	1	50	0.1	0.5	200	12646.059392	0.36	1	0.0119844124357001
"45"	2	4	1	50	0.1	0.75	200	11602.734439	0.457	1	0.0119831090480689
"46"	2	4	1	50	0.1	0.5	300	10164.748507	0.557	1	0.0114260235583374
