""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	2144.397957	0.054	1	Inf
"2"	2	4	1	1000	0.1	1	300	659.861949	107.66	1	Inf
"3"	2	3	1	1000	0.1	1	200	665.588901	72.018	1	0.422492986077152
"4"	2	4	1	50	0.1	0.5	900	666.184283	1.687	1	0.39868288692164
"5"	2	4	1	1000	0.1	0.75	300	664.017754	78.567	1	0.19862255742829
"6"	2	4	1	50	0.1	0.25	50	1930.717722	0.068	1	0.121694361176465
"7"	2	3	1	50	0.1	1	50	1560.881063	0.134	1	0.103344463710687
"8"	2	4	1	50	0.1	0.25	100	1434.313634	0.137	1	0.0863458070774562
"9"	2	4	1	50	0.1	0.25	50	1833.623684	0.07	1	0.0682728090541186
"10"	2	4	1	50	0.1	0.25	50	2042.394641	0.067	1	0.0661484138606993
"11"	2	4	1	50	0.1	0.5	100	1213.904136	0.187	1	0.0519826862782804
"12"	2	4	1	50	0.1	0.75	150	969.712364	0.346	1	0.0469992111611426
"13"	2	3	1	50	0.1	0.25	50	1737.535258	0.081	1	0.0466560614464892
"14"	2	4	1	50	0.1	0.5	50	1623.114894	0.093	1	0.0452703443737775
"15"	2	4	1	50	0.1	0.25	50	1793.788412	0.074	1	0.0443909053130375
"16"	2	4	1	50	0.1	0.5	150	1086.356121	0.268	1	0.0427403437303337
"17"	2	4	1	50	0.1	0.5	100	1334.142767	0.177	1	0.0405209685703575
"18"	2	4	1	50	0.1	0.5	50	1688.87897	0.092	1	0.0390881335716523
"19"	2	4	1	50	0.1	0.25	150	1153.817416	0.217	1	0.0389425785098061
"20"	2	3	1	50	0.1	0.5	50	1611.233813	0.095	1	0.0364963694916387
"21"	2	4	1	50	0.1	0.25	100	1412.797589	0.141	1	0.0355820046437107
"22"	2	4	1	50	0.1	0.1	50	2099.95156	0.058	1	0.0352508020940809
"23"	2	4	1	50	0.1	0.5	200	918.280883	0.36	1	0.0347679249143771
"24"	2	4	1	50	0.1	0.5	150	1109.9986	0.267	1	0.0340333287741991
"25"	2	4	1	50	0.1	0.5	150	1036.713136	0.272	1	0.0331796436147031
"26"	2	4	1	50	0.1	0.5	50	1713.878497	0.089	1	0.0276652069394646
"27"	2	4	1	50	0.1	0.5	100	1297.258772	0.178	1	0.0275242417882415
"28"	2	4	1	50	0.1	0.25	100	1373.329013	0.144	1	0.0270212161636062
"29"	2	4	1	50	0.1	0.1	50	2127.613334	0.056	1	0.0259265985532666
