""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	3	1	150	0.1	1	800	14499.212759	9.545	1	Inf
"2"	2	4	1	50	0.1	0.1	50	86174.689152	0.054	1	Inf
"3"	2	4	1	50	0.1	0.1	50	73855.800681	0.055	1	0.229549578552949
"4"	2	4	1	50	0.1	0.25	50	65943.853991	0.068	1	0.123312821421974
"5"	2	4	1	50	0.1	0.25	50	59330.759475	0.07	1	0.0973315581320817
"6"	2	4	1	50	0.1	0.25	100	49340.428272	0.141	1	0.0911956869852998
"7"	2	4	1	50	0.1	0.25	100	44626.151353	0.142	1	0.0878109909887246
"8"	2	4	1	50	0.1	0.1	50	69723.70072	0.057	1	0.0794828455265949
"9"	2	4	1	50	0.1	0.5	100	36685.411208	0.186	1	0.0539060632695549
"10"	2	4	1	50	0.1	0.1	50	68163.003796	0.061	1	0.0528423266987605
"11"	2	4	1	50	0.1	0.5	100	38814.834928	0.184	1	0.0469322214637347
"12"	2	4	1	50	0.1	0.5	150	32418.878196	0.275	1	0.0434371842357263
"13"	2	4	1	100	0.1	0.5	700	14774.541443	2.943	1	0.0429325088346064
"14"	2	4	1	50	0.1	0.25	100	42213.840388	0.156	1	0.0411836921239662
"15"	2	4	1	50	0.1	0.5	200	26356.260428	0.369	1	0.0404702404061244
"16"	2	4	1	50	0.1	0.5	300	20871.895471	0.553	1	0.040208794686128
"17"	2	4	1	50	0.1	0.5	150	30814.949712	0.277	1	0.0382044548418802
"18"	2	3	1	150	0.1	1	800	14550.052174	9.536	1	0.0374941723509052
"19"	2	4	1	150	0.1	0.5	800	14566.786692	5.779	1	0.0370828383809489
"20"	2	4	1	50	0.1	1	50	51159.167385	0.137	1	0.0355736522165243
"21"	2	3	1	50	0.1	0.25	50	57498.870925	0.079	1	0.0346409069878274
"22"	2	4	1	50	0.1	0.5	100	34958.048718	0.194	1	0.0345539426410142
"23"	2	4	1	50	0.1	0.25	100	43050.011938	0.146	1	0.0337918945827853
"24"	2	4	1	50	0.1	0.5	100	40122.499129	0.181	1	0.0304903381788769
"25"	2	4	1	150	0.1	0.5	800	14593.708793	5.778	1	0.0304237090356651
"26"	2	4	1	50	0.1	0.5	200	24432.456964	0.371	1	0.029379081316933
"27"	2	4	1	50	0.1	0.5	50	56500.66476	0.091	1	0.0290186600854549
"28"	2	4	1	50	0.1	0.5	300	22495.689127	0.551	1	0.0273423441749918
"29"	2	4	1	50	0.1	0.75	100	33900.504364	0.237	1	0.0258355597682088
"30"	2	4	1	50	0.1	0.25	50	58971.742127	0.074	1	0.0256454444712196
"31"	2	3	1	50	0.1	0.5	50	52559.378424	0.101	1	0.0250440950364592
"32"	2	4	1	50	0.1	0.5	300	19620.661168	0.561	1	0.0221725411002374
"33"	2	4	1	50	0.1	0.75	800	14935.599266	1.846	1	0.0203317127158956
"34"	2	4	1	50	0.1	0.5	150	28515.537984	0.287	1	0.0200926527559125
"35"	2	3	1	50	0.1	0.5	50	53761.303248	0.1	1	0.0198064861098517
"36"	2	4	1	50	0.1	0.5	400	17639.527964	0.778	1	0.0194167904370198
"37"	2	4	1	50	0.1	0.5	150	29683.338317	0.279	1	0.019384087368698
"38"	2	4	1	50	0.1	0.5	100	40047.213573	0.183	1	0.018273351409812
"39"	2	3	1	50	0.1	0.5	50	53976.930785	0.098	1	0.0175516828549392
"40"	2	4	1	50	0.1	0.75	150	27325.528514	0.36	1	0.0172086272235368
"41"	2	4	1	50	0.1	0.5	50	55427.988161	0.092	1	0.0168669689676647
"42"	2	4	1	50	0.1	0.5	150	29427.672982	0.28	1	0.0163705305678001
"43"	2	4	1	50	0.1	0.5	50	55016.545856	0.096	1	0.0152699520627373
"44"	2	4	1	50	0.1	0.75	100	34242.828029	0.235	1	0.0151719611307301
"45"	2	4	1	50	0.1	0.75	200	22766.975051	0.46	1	0.0146601429227219
"46"	2	4	1	50	0.1	0.5	500	16924.209489	0.933	1	0.0140952832522805
"47"	2	4	1	50	0.1	0.75	200	23481.070235	0.457	1	0.012383929120688
"48"	2	4	1	50	0.1	0.75	150	28037.609722	0.352	1	0.0117730100245505
"49"	2	4	1	50	0.1	0.5	200	24258.848645	0.381	1	0.0117162979339031
"50"	2	4	1	50	0.1	1	50	51886.708464	0.136	1	0.0116194229464903
"51"	2	4	1	50	0.1	0.5	200	23603.120561	0.386	1	0.0115890158281096
"52"	2	4	1	50	0.1	0.75	50	51978.777605	0.118	1	0.00972463579852806
"53"	2	4	1	50	0.1	0.5	400	18203.916653	0.772	1	0.00961202550665792
"54"	2	4	1	50	0.1	0.5	800	15291.300359	1.591	1	0.00923285367678533
"55"	2	4	1	50	0.1	0.5	400	18626.297339	0.736	1	0.0086794745189658
"56"	2	4	1	50	0.1	0.75	300	18900.492744	0.706	1	0.00821396989891847
"57"	2	4	1	50	0.1	0.75	500	16201.608625	1.159	1	0.00798616273534561
"58"	2	4	1	50	0.1	0.75	500	15935.073956	1.189	1	0.00723635374488577
"59"	2	4	1	50	0.1	0.5	300	19309.102935	0.591	1	0.00658830641368269
"60"	2	4	1	50	0.1	0.75	150	27717.615147	0.353	1	0.00641417269696004
"61"	2	4	1	50	0.1	0.75	500	16483.138031	1.154	1	0.00630259802582283
"62"	2	3	1	50	0.1	0.5	700	15328.149761	1.459	1	0.00627854396504467
"63"	2	4	1	50	0.1	0.5	400	18311.083083	0.753	1	0.00624236220888618
"64"	2	4	1	50	0.1	0.5	700	15582.012872	1.362	1	0.00623448636715762
"65"	2	4	1	50	0.1	0.75	150	27582.740427	0.359	1	0.00553824322764252
"66"	2	4	1	50	0.1	0.5	50	55293.108035	0.093	1	0.00503310530671542
"67"	2	4	1	50	0.1	0.75	300	19180.254768	0.686	1	0.00486663630044967
"68"	2	4	1	50	0.1	0.75	500	15705.2005	1.191	1	0.00485370206969582
"69"	2	4	1	50	0.1	0.5	500	16521.17579	0.969	1	0.00462035678149761
"70"	2	4	1	50	0.1	0.5	50	55069.324907	0.095	1	0.00388764971811445
"71"	2	4	1	50	0.1	0.5	500	16739.155396	0.936	1	0.00367831607606888
"72"	2	4	1	50	0.1	0.5	700	15677.617767	1.319	1	0.00337834830124183
"73"	2	4	1	50	0.1	0.5	500	16684.21672	0.967	1	0.00336148778730879
"74"	2	2	1	50	0.1	0.5	300	19221.484998	0.666	1	0.00271969510796658
