""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	200	0.1	0.5	800	6242.102083	10.337	1	Inf
"2"	2	4	1	50	0.1	0.1	50	32732.48615	0.061	1	Inf
"3"	2	4	1	50	0.1	0.1	50	31554.246278	0.062	1	0.0741695474717764
"4"	2	4	1	50	0.1	0.1	50	29116.993735	0.068	1	0.0671362339754168
"5"	2	4	1	50	0.1	0.5	150	15615.514074	0.307	1	0.0656185258795331
"6"	2	4	1	50	0.1	0.5	100	19002.561225	0.205	1	0.0596526301615432
"7"	2	4	1	50	0.1	0.5	100	17854.993694	0.206	1	0.0566025681064401
"8"	2	4	1	50	0.1	0.25	100	21424.966574	0.157	1	0.0523137610356904
"9"	2	4	1	50	0.1	0.25	150	16898.176593	0.244	1	0.0513742259873381
"10"	2	4	1	50	0.1	0.25	50	27575.577103	0.077	1	0.0502949923083112
"11"	2	4	1	50	0.1	0.1	50	30395.270865	0.064	1	0.0460230061481704
"12"	2	4	1	50	0.1	0.25	100	22720.478831	0.155	1	0.0429564038747981
"13"	2	4	1	50	0.1	0.25	100	20329.603778	0.161	1	0.0426610178430289
"14"	2	3	1	50	0.1	0.25	100	19732.439818	0.189	1	0.0423255529342727
"15"	2	4	1	50	0.1	0.5	50	25952.841802	0.098	1	0.0418640369755927
"16"	2	4	1	50	0.1	0.25	100	21072.436238	0.16	1	0.034773472538466
"17"	2	4	1	50	0.1	0.75	150	13803.066932	0.389	1	0.0345443376982736
"18"	2	4	1	50	0.1	0.25	50	27533.531365	0.079	1	0.0332043439673148
"19"	2	4	1	50	0.1	0.25	50	26529.511724	0.08	1	0.0330800984336524
"20"	2	4	1	50	0.1	0.5	200	12954.562433	0.413	1	0.0330442685504686
"21"	2	4	1	50	0.1	0.9	50	23379.277216	0.144	1	0.0316045872803773
"22"	2	4	1	50	0.1	0.1	50	29690.00398	0.067	1	0.0313355986711282
"23"	2	4	1	50	0.1	0.25	150	17224.42175	0.242	1	0.0305489421487871
"24"	2	4	1	100	0.1	0.75	900	6297.856798	5.612	1	0.0291570368223899
"25"	2	4	1	50	0.1	0.5	50	24488.21765	0.11	1	0.0287936929053922
"26"	2	4	1	50	0.1	0.5	200	11780.613006	0.421	1	0.0281175393003248
"27"	2	4	1	50	0.1	0.5	150	14840.314075	0.309	1	0.0280189284972623
"28"	2	3	1	50	0.1	0.5	300	9618.702056	0.68	1	0.0275005971912418
"29"	2	4	1	50	0.1	0.75	300	9097.518884	0.769	1	0.0257362501877251
"30"	2	4	1	50	0.1	0.5	50	25174.917898	0.101	1	0.0252553634781393
"31"	2	4	1	50	0.1	0.5	300	11103.295446	0.621	1	0.0245216775075597
"32"	2	4	1	50	0.1	0.5	200	12490.208435	0.42	1	0.0243544368869145
"33"	2	4	1	50	0.1	0.1	50	30104.318314	0.066	1	0.0223915951177447
"34"	2	4	1	50	0.1	0.5	50	25158.425016	0.108	1	0.0218327311664885
"35"	2	4	1	50	0.1	0.9	50	23772.13885	0.139	1	0.0209641900522699
"36"	2	3	1	50	0.1	0.9	50	22777.923307	0.151	1	0.0209575403650885
"37"	2	4	1	50	0.1	0.5	150	14504.934308	0.325	1	0.0209193935470693
"38"	2	4	1	50	0.1	0.5	300	10635.541011	0.623	1	0.0196496279276259
"39"	2	4	1	50	0.1	0.5	300	10484.45046	0.624	1	0.0184840249986483
"40"	2	4	1	50	0.1	0.25	50	26491.699398	0.084	1	0.0183870419493594
"41"	2	4	1	50	0.1	0.5	300	10053.592451	0.627	1	0.0172336739231376
"42"	2	3	1	50	0.1	0.9	200	11405.087545	0.602	1	0.0168981258472087
"43"	2	4	1	50	0.1	0.75	50	24037.650357	0.129	1	0.015346062480951
"44"	2	3	1	50	0.1	0.25	200	14081.635948	0.361	1	0.0150884973185511
"45"	2	4	1	50	0.1	0.5	400	8831.665055	0.832	1	0.015000402865271
"46"	2	4	1	50	0.1	0.75	50	24254.073494	0.128	1	0.0143911322970698
"47"	2	4	1	50	0.1	0.5	300	9944.926172	0.647	1	0.0140649449658252
"48"	2	4	1	100	0.1	0.75	600	6643.872405	3.632	1	0.0130927992135686
"49"	2	4	1	50	0.1	0.5	200	12765.53841	0.414	1	0.0129325495871078
"50"	2	3	1	50	0.1	0.75	200	11631.926444	0.596	1	0.0128259670627901
"51"	2	4	1	50	0.1	0.75	800	6691.426654	2.09	1	0.011931189897104
"52"	2	4	1	50	0.1	0.5	150	14735.105617	0.324	1	0.0107213919483849
"53"	2	4	1	50	0.1	0.5	600	7353.476397	1.311	1	0.0103223253781945
"54"	2	4	1	50	0.1	0.5	800	6977.024723	1.679	1	0.00941179145971478
"55"	2	4	1	50	0.1	0.5	800	7092.477063	1.677	1	0.00898014790251747
"56"	2	4	1	50	0.1	0.75	150	14039.053035	0.386	1	0.00897934316259343
"57"	2	4	1	50	0.1	0.5	600	7800.946304	1.257	1	0.00894270454958158
"58"	2	4	1	100	0.1	0.75	600	6460.742529	3.802	1	0.00893117155980278
"59"	2	4	1	50	0.1	0.5	200	12547.745151	0.418	1	0.00876579654238878
"60"	2	3	1	50	0.1	0.5	800	6827.893166	1.879	1	0.00847314693414415
"61"	2	4	1	50	0.1	0.5	500	7985.492209	1.123	1	0.00790612725694191
"62"	2	4	1	50	0.1	0.5	400	8635.683851	0.838	1	0.0078221966934031
"63"	2	4	1	50	0.1	0.5	600	7559.757395	1.28	1	0.00698315734805689
"64"	2	4	1	100	0.1	0.75	800	6453.872158	4.967	1	0.00670773378973852
"65"	2	4	1	100	0.1	0.75	600	6527.935922	3.66	1	0.00666630998628278
"66"	2	4	1	100	0.1	0.75	900	6388.491304	5.469	1	0.00650928409200725
"67"	2	4	1	50	0.1	0.5	500	8277.913143	1.05	1	0.00553891445855632
"68"	2	4	1	50	0.1	0.75	600	7245.144404	1.585	1	0.00550469347138688
"69"	2	4	1	50	0.1	0.5	500	8173.328976	1.051	1	0.00549454961235523
"70"	2	3	1	50	0.1	0.5	400	8445.820064	0.955	1	0.0054780333335024
"71"	2	4	1	50	0.1	0.75	800	6771.862243	2.069	1	0.00539224164801868
"72"	2	4	1	50	0.1	0.5	400	8560.077896	0.845	1	0.00503913061038293
"73"	2	4	1	50	0.1	0.75	600	7278.854288	1.56	1	0.00461917765627341
"74"	2	4	1	50	0.1	0.5	500	8105.052187	1.052	1	0.00459380234350181
"75"	2	4	1	100	0.1	0.75	800	6407.793248	5.012	1	0.0039786828105529
"76"	2	4	1	50	0.1	0.5	600	7614.880424	1.274	1	0.00362379372613566
"77"	2	4	1	50	0.1	0.5	600	7725.218393	1.259	1	0.00322468817882789
"78"	2	4	1	50	0.1	0.5	500	8347.429525	1.048	1	0.00296729034692892
"79"	2	4	1	50	0.1	0.5	500	8419.320308	1.046	1	0.00283837363191531
"80"	2	4	1	50	0.1	0.5	500	8028.857962	1.053	1	0.00277471178141557
"81"	2	4	1	50	0.1	0.5	600	7681.440211	1.271	1	0.00276435452714248
"82"	2	4	1	50	0.1	0.5	400	8587.027904	0.844	1	0.00243405024511987
"83"	2	4	1	50	0.1	0.5	500	8370.960702	1.047	1	0.0022909992998746
"84"	2	4	1	50	0.1	0.5	600	7568.176963	1.277	1	0.00177913890173376
"85"	2	4	1	50	0.1	0.5	500	8018.70919	1.059	1	0.00172837484711546
"86"	2	4	1	100	0.1	0.75	800	6439.299713	4.999	1	0.00168857144514043
"87"	2	4	1	50	0.1	0.5	600	7701.214394	1.269	1	0.00144940566228848
"88"	2	4	1	50	0.1	0.75	600	7247.723781	1.562	1	0.00119542234279876
