""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	800	0.1	0.75	400	582.254831	89.179	1	Inf
"2"	2	4	1	50	0.1	0.1	50	2999.959584	0.061	1	Inf
"3"	2	4	1	900	0.1	0.5	300	582.472034	56.145	1	0.560461677954429
"4"	2	3	1	200	0.1	0.9	900	585.381569	18.413	1	0.400365005491311
"5"	2	4	1	100	0.1	0.75	900	586.266927	5.664	1	0.104078709793765
"6"	2	4	1	50	0.1	0.1	50	2801.727058	0.065	1	0.0746333434852163
"7"	2	4	1	50	0.1	0.1	50	2998.552589	0.063	1	0.0708741603970449
"8"	2	4	1	50	0.1	0.25	100	1781.977065	0.168	1	0.0636261991048104
"9"	2	4	1	50	0.1	0.5	50	2302.196935	0.102	1	0.0633601727375181
"10"	2	4	3	50	0.1	0.5	50	2425.889293	0.098	1	0.062115860648749
"11"	2	4	1	50	0.1	0.5	150	1454.158133	0.31	1	0.0593248413680551
"12"	2	4	1	50	0.1	0.5	50	2224.488412	0.112	1	0.0532663989640404
"13"	2	4	1	50	0.1	0.1	50	2724.560034	0.071	1	0.0513721137483718
"14"	2	4	1	50	0.1	0.75	50	2100.317417	0.133	1	0.0480902451243717
"15"	2	4	1	50	0.1	0.25	100	1884.52852	0.165	1	0.0469551038445691
"16"	2	4	1	50	0.1	0.75	200	1029.329793	0.519	1	0.0430045242510415
"17"	2	4	1	50	0.1	0.25	100	1995.065378	0.16	1	0.0404315055978436
"18"	2	4	1	50	0.1	0.5	200	1155.045336	0.414	1	0.039989149887757
"19"	2	4	1	50	0.1	0.5	150	1362.818042	0.311	1	0.0396205353024646
"20"	2	4	1	50	0.1	0.25	100	1913.212624	0.161	1	0.0395421813668444
"21"	2	4	1	50	0.1	0.75	150	1255.69809	0.391	1	0.0384605914740634
"22"	2	4	1	50	0.1	0.25	50	2646.272127	0.077	1	0.0368671999937439
"23"	2	4	1	50	0.1	0.25	50	2591.198132	0.08	1	0.0354518992992262
"24"	2	4	1	50	0.1	0.5	100	1601.881313	0.215	1	0.0353706122709096
"25"	2	4	1	50	0.1	0.5	300	965.576467	0.624	1	0.0344078832173266
"26"	2	4	1	50	0.1	0.25	100	2026.304353	0.159	1	0.0342782784852358
"27"	2	4	1	50	0.1	0.5	100	1707.417797	0.207	1	0.0342365166907877
"28"	2	4	1	50	0.1	0.5	150	1528.755231	0.308	1	0.0322054453679872
"29"	2	4	1	50	0.1	0.5	100	1675.789313	0.211	1	0.0304959657220079
"30"	2	4	1	50	0.1	0.25	50	2522.416966	0.081	1	0.0290676302011404
