""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	175018.946476	0.068	1	Inf
"2"	2	4	1	1000	0.25	0.9	700	27140.37956	327.323	1	Inf
"3"	2	4	1	200	0.1	0.75	800	27144.553584	15.845	1	0.969974757938933
"4"	2	4	1	50	0.1	0.5	300	52115.022906	0.669	1	0.0662935137513678
"5"	2	4	1	50	0.1	0.25	300	60994.482443	0.528	1	0.0641142706560329
"6"	2	4	1	50	0.1	0.1	50	172363.239522	0.069	1	0.0602734099253207
"7"	2	4	1	50	0.1	0.5	150	79792.036059	0.333	1	0.0594916706758107
"8"	2	3	1	50	0.1	0.75	100	88809.329672	0.305	1	0.0578281185757631
"9"	2	4	1	50	0.1	0.5	100	102672.701305	0.222	1	0.0561899771306401
"10"	2	4	1	50	0.1	0.1	50	165473.174417	0.07	1	0.0547346936340707
"11"	2	4	1	50	0.1	0.25	100	124999.983557	0.168	1	0.0496762480345053
"12"	2	4	1	50	0.1	0.25	100	118875.578812	0.169	1	0.0479133219321011
"13"	2	4	1	50	0.1	0.5	50	135752.671809	0.112	1	0.0448406311018396
"14"	2	4	1	50	0.1	0.5	50	133413.391021	0.116	1	0.0438834761000467
"15"	2	3	1	50	0.1	0.5	50	128808.234764	0.125	1	0.0422702839757002
"16"	2	4	1	50	0.1	0.5	50	140512.820379	0.11	1	0.0411883684535774
"17"	2	4	1	50	0.1	0.25	150	94584.25991	0.264	1	0.0386010759943159
"18"	2	4	1	50	0.1	0.5	100	96948.348591	0.223	1	0.0370963109204492
"19"	2	4	1	50	0.1	0.25	150	88919.037183	0.266	1	0.0365853469059606
"20"	2	3	1	50	0.1	0.1	50	158784.005014	0.081	1	0.0336362848104168
"21"	2	4	1	50	0.1	0.25	50	156511.022127	0.082	1	0.0323550891497943
"22"	2	4	1	50	0.1	0.25	50	146152.813834	0.087	1	0.0322902625652483
"23"	2	4	1	200	0.1	0.5	700	27192.694555	10.002	1	0.0317643722454558
"24"	2	4	1	50	0.1	0.25	100	114168.282011	0.171	1	0.0315743509702465
