""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	200	0.25	0.9	900	43201.763862	25.445	1	Inf
"2"	2	4	3	50	0.1	0.1	50	319783.444178	0.069	1	Inf
"3"	2	4	1	200	0.25	0.9	800	43432.27158	20.825	1	0.202712365501088
"4"	2	4	1	200	0.1	0.5	800	45048.079677	11.971	1	0.20154284402335
"5"	2	2	1	100	0.1	0.75	900	45095.823613	7.249	1	0.125890224215284
"6"	2	4	1	200	0.1	0.75	800	43736.336109	16.443	1	0.104682974766446
"7"	2	4	1	200	0.1	0.75	800	44880.981912	16.241	1	0.0979220563033506
"8"	2	4	3	50	0.1	0.25	50	283809.006135	0.086	1	0.0822511499867295
"9"	2	4	1	50	0.1	0.1	100	232471.723446	0.15	1	0.0607108335607408
"10"	2	4	1	50	0.1	0.25	50	267982.076808	0.087	1	0.0566622339069052
"11"	2	4	1	50	0.1	0.1	50	307421.011547	0.071	1	0.053114141754604
"12"	2	4	1	50	0.1	0.25	100	216271.227792	0.175	1	0.0498866913505182
"13"	2	4	1	50	0.1	0.1	50	295688.114056	0.075	1	0.0466560147795909
"14"	2	4	3	50	0.1	0.5	50	252380.885692	0.114	1	0.0434704103636196
"15"	2	4	1	50	0.1	0.5	300	100718.209296	0.695	1	0.040339003804728
"16"	2	3	1	50	0.1	0.25	300	112134.100882	0.629	1	0.0385831888469473
"17"	2	4	1	50	0.1	0.25	150	157453.542517	0.283	1	0.0383492778517686
"18"	2	4	1	50	0.1	0.25	150	165265.991819	0.273	1	0.0380750929340709
"19"	2	4	1	50	0.1	0.5	50	241410.823022	0.117	1	0.0374659893151384
"20"	2	4	1	100	0.1	0.5	700	50851.089174	3.933	1	0.0362673756183526
"21"	2	4	1	50	0.1	0.5	200	132915.555967	0.457	1	0.0354247997500382
"22"	2	4	1	50	0.1	0.75	300	84793.519482	0.869	1	0.032767291405079
"23"	2	4	1	50	0.1	0.5	100	186745.221703	0.232	1	0.0327125059148887
"24"	2	4	1	50	0.1	0.5	100	177505.220733	0.234	1	0.0308559136971334
"25"	2	4	1	50	0.1	0.75	900	50887.553887	2.642	1	0.0303393390832504
"26"	2	3	1	50	0.1	0.25	100	197242.63966	0.204	1	0.0293135601490035
"27"	2	2	1	100	0.1	0.5	900	46680.676159	5.87	1	0.028857216700681
"28"	2	4	1	50	0.1	0.25	50	264690.296714	0.09	1	0.0281731152326364
"29"	2	4	1	50	0.1	0.5	150	142314.568967	0.354	1	0.0275156595329536
"30"	2	4	1	50	0.1	0.5	200	125309.161738	0.463	1	0.027085185019555
"31"	2	4	1	50	0.1	0.5	100	190401.257768	0.23	1	0.0263614235943755
"32"	2	4	1	50	0.1	0.25	50	258491.220007	0.091	1	0.0260175419627496
"33"	2	4	1	50	0.1	0.5	150	152849.56719	0.345	1	0.0250969670774789
"34"	2	4	1	50	0.1	0.5	400	77122.403048	0.932	1	0.0250797240024421
"35"	2	4	1	100	0.1	0.75	900	45519.76501	6.399	1	0.0246379923684695
"36"	2	4	1	50	0.1	0.1	50	301863.806891	0.073	1	0.0235477948786574
"37"	2	4	1	100	0.1	0.5	900	46970.559357	5.103	1	0.0228517221190458
"38"	2	4	1	50	0.1	0.25	100	208476.789178	0.181	1	0.0215090131152821
"39"	2	4	1	50	0.1	0.5	150	147129.090383	0.348	1	0.021286075775087
"40"	2	3	1	100	0.1	0.5	700	49299.904689	4.309	1	0.0197776304355353
"41"	2	4	1	50	0.1	0.5	300	99022.599296	0.698	1	0.0197312197420073
