""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	69989.667715	0.079	1	Inf
"2"	2	4	1	600	0.1	0.5	900	9823.450873	116.025	1	Inf
"3"	2	2	1	200	0.1	0.75	900	9837.833615	24.185	1	0.803281570876064
"4"	2	4	1	50	0.1	0.1	50	68068.837271	0.081	1	0.108946512846569
"5"	2	4	1	50	0.1	0.25	100	48002.558356	0.198	1	0.0923432807157958
"6"	2	4	1	50	0.1	0.1	50	63311.937986	0.082	1	0.0904956672117845
"7"	2	2	1	50	0.1	0.75	50	53004.512235	0.195	1	0.0872275748619768
"8"	2	4	1	50	0.1	0.5	200	28267.444247	0.523	1	0.0825337597716887
"9"	2	4	1	200	0.1	0.75	600	10297.414045	14.612	1	0.0773776236899372
"10"	2	4	1	50	0.1	0.25	50	59612.887691	0.101	1	0.0740012594474505
"11"	2	4	1	100	0.1	0.75	900	10359.492176	7.591	1	0.062183089636789
"12"	2	4	1	50	0.1	0.75	150	32048.171946	0.501	1	0.062127607276025
"13"	2	4	1	50	0.1	0.25	50	62138.736326	0.1	1	0.0456163776211632
"14"	2	3	3	50	0.1	0.5	50	53325.473137	0.151	1	0.0453510920274868
"15"	2	4	1	50	0.1	0.5	50	55755.295796	0.139	1	0.0431596192648409
"16"	2	4	1	50	0.1	0.5	300	23056.373743	0.801	1	0.0411541337338537
"17"	2	3	1	50	0.1	0.25	100	45177.961832	0.236	1	0.0406551158691249
"18"	2	4	1	50	0.1	0.5	100	41683.884735	0.266	1	0.038285433771989
"19"	2	4	1	50	0.1	0.5	400	19168.294346	1.068	1	0.0365438931441591
"20"	2	4	1	50	0.1	0.25	50	57603.966404	0.104	1	0.036522729469419
"21"	2	4	1	50	0.1	0.75	200	26527.925705	0.671	1	0.0355235677183696
"22"	2	4	1	200	0.1	0.5	1000	10137.82853	18.032	1	0.0338622643637543
"23"	2	4	1	200	0.1	0.75	900	10087.412893	21.752	1	0.0338240971006342
"24"	2	4	1	50	0.1	0.5	300	24721.36744	0.794	1	0.0335545041122313
"25"	2	4	1	50	0.1	0.5	100	43363.08971	0.265	1	0.031978587578033
"26"	2	4	1	200	0.1	0.5	900	10235.958894	16.329	1	0.0311434612456689
"27"	2	4	1	50	0.1	0.5	150	36779.554864	0.392	1	0.0273131976924047
"28"	2	4	1	50	0.1	0.5	300	24538.440966	0.799	1	0.0272181322790421
"29"	2	4	1	50	0.1	0.25	150	40251.392155	0.303	1	0.027058597205096
"30"	2	4	1	50	0.1	0.5	400	20418.784265	1.067	1	0.0263139155046218
"31"	2	4	1	50	0.1	0.75	900	11998.373333	3.023	1	0.0263077685373716
"32"	2	3	1	50	0.1	0.25	100	44029.87961	0.251	1	0.0252721440466056
"33"	2	4	1	50	0.1	0.25	150	39378.114544	0.305	1	0.0251812133369183
"34"	2	4	1	50	0.1	0.5	150	35835.050123	0.398	1	0.024660139054538
"35"	2	4	1	50	0.1	0.25	300	27048.453851	0.615	1	0.0246538864583185
"36"	2	4	1	100	0.1	0.75	600	11667.066375	4.997	1	0.0241800395037825
"37"	2	4	1	50	0.1	0.5	300	22018.527157	0.805	1	0.0240012597750084
"38"	2	4	1	50	0.1	0.5	100	41020.1083	0.273	1	0.0236845411130006
"39"	2	4	1	50	0.1	0.5	500	16686.489356	1.383	1	0.0231816735340354
"40"	2	3	1	50	0.1	0.25	100	46511.268047	0.23	1	0.0228389075164313
"41"	2	4	1	100	0.1	0.5	900	10855.282372	5.88	1	0.0227992824169562
"42"	2	4	1	50	0.1	0.25	150	38712.335849	0.312	1	0.0224283777096889
"43"	2	4	1	50	0.1	0.5	150	34606.638015	0.399	1	0.0223014499900381
"44"	2	4	1	50	0.1	0.5	500	17090.965435	1.35	1	0.0220035225344171
"45"	2	4	1	50	0.1	0.5	400	18180.458538	1.071	1	0.0211940508960254
"46"	2	4	1	50	0.1	0.25	150	37748.61414	0.315	1	0.0207071521263247
"47"	2	4	1	50	0.1	0.75	400	18004.817621	1.325	1	0.0201770454435445
"48"	2	3	1	50	0.1	0.25	200	32549.161632	0.486	1	0.0195098675584181
"49"	2	4	3	50	0.1	0.5	50	57389.607367	0.131	1	0.0185878116812428
"50"	2	4	1	100	0.1	0.75	900	10611.992739	7.458	1	0.0184502707205959
"51"	2	4	1	50	0.1	0.25	200	33225.96061	0.435	1	0.0179988427222751
"52"	2	4	1	50	0.1	0.5	600	15806.159883	1.608	1	0.0178895889934006
"53"	2	4	1	50	0.1	0.5	700	14015.757937	1.899	1	0.0176006642680917
"54"	2	4	1	50	0.1	0.5	300	21593.359638	0.817	1	0.0172019212429615
"55"	2	4	1	200	0.1	0.5	1000	10156.255008	17.956	1	0.0162884790867849
"56"	2	4	1	50	0.1	0.25	150	38007.300906	0.313	1	0.015745166203314
"57"	2	4	1	50	0.1	0.5	50	56479.186311	0.132	1	0.0157246458694686
"58"	2	4	1	50	0.1	0.5	150	36116.392014	0.395	1	0.0154575918078249
"59"	2	4	1	50	0.1	0.5	700	14626.94305	1.893	1	0.0153620073810203
"60"	2	4	1	50	0.1	0.25	50	62529.698631	0.098	1	0.0148828058905504
"61"	2	4	1	50	0.1	0.5	150	33615.624951	0.416	1	0.0148028425103742
"62"	2	4	1	50	0.1	0.5	600	15032.649413	1.62	1	0.0147611270154896
"63"	2	4	1	100	0.1	0.75	700	11448.203166	5.806	1	0.0138845361304658
"64"	2	4	1	50	0.1	0.75	300	21056.970784	0.981	1	0.0138166997808412
"65"	2	4	1	50	0.1	0.5	900	12607.560975	2.474	1	0.0136900249797166
"66"	2	4	1	50	0.1	0.5	150	34119.748537	0.409	1	0.0134274147104643
"67"	2	4	1	50	0.1	0.5	800	13685.885499	2.154	1	0.0133182112955213
"68"	2	3	1	200	0.1	0.75	900	9973.038755	23.006	1	0.0131828331370326
"69"	2	4	1	50	0.1	0.25	100	47249.711106	0.21	1	0.012830509939178
"70"	2	4	1	50	0.1	0.5	600	15712.91292	1.616	1	0.0127202476383602
"71"	2	4	1	200	0.1	0.75	900	10046.474416	21.781	1	0.0126809393774099
"72"	2	4	1	50	0.1	0.75	700	13440.88791	2.356	1	0.0126006551448658
"73"	2	4	1	50	0.1	0.25	100	47348.398356	0.205	1	0.0123832092717277
"74"	2	3	1	200	0.1	0.75	900	9923.538208	23.077	1	0.0123738615957062
"75"	2	4	1	50	0.1	0.25	100	46564.95531	0.211	1	0.01221725974121
"76"	2	4	3	50	0.1	0.5	50	55963.052028	0.135	1	0.0110016540880288
"77"	2	4	1	50	0.1	0.5	100	43643.377266	0.264	1	0.0109967748078159
"78"	2	4	1	50	0.1	0.75	900	12365.79741	2.984	1	0.0107927952349633
"79"	2	4	1	100	0.1	0.75	600	11596.734444	5.067	1	0.0105472700250527
"80"	2	4	1	100	0.1	0.75	700	11137.313378	5.808	1	0.0103093760040012
"81"	2	4	1	50	0.1	0.5	900	13063.531173	2.438	1	0.00926212110514187
"82"	2	4	1	50	0.1	0.25	300	26817.295289	0.639	1	0.00897333278933821
"83"	2	4	1	50	0.1	0.5	700	14950.701211	1.886	1	0.00897203233394423
"84"	2	4	1	50	0.1	0.5	50	56427.143723	0.134	1	0.00844455502149968
"85"	2	4	1	50	0.1	0.75	150	32063.686467	0.499	1	0.00830102752616205
"86"	2	4	1	50	0.1	0.5	900	12917.98886	2.441	1	0.00774783217905773
"87"	2	4	1	50	0.1	0.25	500	20779.438424	1.064	1	0.007498008544815
"88"	2	4	1	50	0.1	0.25	50	62408.48876	0.099	1	0.006394246638685
"89"	2	4	1	50	0.1	0.75	900	12222.418199	2.997	1	0.00632942800548315
"90"	2	4	1	50	0.1	0.5	150	34433.548101	0.406	1	0.00577175450969121
"91"	2	4	1	50	0.1	0.25	500	20874.772414	1.06	1	0.00524268866620191
"92"	2	4	1	100	0.1	0.75	900	10562.222129	7.465	1	0.00464914908643886
"93"	2	4	1	100	0.1	0.75	900	10389.356013	7.576	1	0.004393446785078
"94"	2	4	1	50	0.1	0.5	150	34470.431901	0.403	1	0.00288364742163963
