""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	13321.449399	0.039	1	Inf
"2"	2	4	1	50	0.1	0.75	100	6659.431533	0.156	1	Inf
"3"	2	4	1	50	0.1	0.25	50	9873.433992	0.047	1	0.149761073056887
"4"	2	4	1	50	0.1	0.1	50	11767.353278	0.04	1	0.137203382963922
"5"	2	4	1	50	0.1	0.1	50	10828.087072	0.046	1	0.10541287512334
"6"	2	4	1	50	0.1	0.25	50	8939.168607	0.048	1	0.0881931810098027
"7"	2	4	1	50	0.1	0.25	50	8660.687734	0.053	1	0.0480777442015517
"8"	2	4	1	50	0.1	0.5	50	8154.899127	0.059	1	0.0466671334596997
"9"	2	4	1	50	0.1	0.25	100	7230.616659	0.1	1	0.0454189142539587
"10"	2	4	1	50	0.1	0.25	100	6948.314062	0.102	1	0.0392848102674094
"11"	2	4	1	50	0.1	0.75	50	7455.646486	0.08	1	0.0382452016671707
"12"	2	4	1	50	0.1	0.1	50	11198.116676	0.044	1	0.0369260761846211
"13"	2	4	1	50	0.1	0.1	50	11591.43327	0.041	1	0.034948329505471
"14"	2	4	1	50	0.1	0.5	50	8009.827022	0.065	1	0.0319342682670761
"15"	2	4	1	50	0.1	0.5	50	7705.903017	0.066	1	0.031806545339795
"16"	2	4	1	50	0.1	0.5	100	6807.030139	0.124	1	0.0283714342405785
"17"	2	4	1	50	0.1	0.1	50	11331.250818	0.042	1	0.0246097978302878
"18"	2	4	1	50	0.1	0.75	50	7650.237581	0.079	1	0.0231662142074573
"19"	2	4	1	50	0.1	0.5	100	6662.823078	0.126	1	0.0194106904282555
"20"	2	4	1	50	0.1	0.25	50	8766.64565	0.05	1	0.0165640820119228
"21"	2	4	1	50	0.1	0.5	50	8103.866188	0.064	1	0.0129171512273848
"22"	2	4	1	50	0.1	0.1	50	11286.152388	0.043	1	0.0110054326217477
"23"	2	4	1	50	0.1	0.25	50	8741.822758	0.052	1	0.00909982944750882
"24"	2	4	1	50	0.1	0.75	100	6659.431533	0.163	2	Inf
"25"	2	4	1	50	0.1	0.1	50	13413.289269	0.039	2	Inf
"26"	2	4	1	50	0.1	0.25	50	10205.666078	0.047	2	0.150341651660252
"27"	2	4	1	50	0.1	0.1	50	12053.610476	0.04	2	0.127958577694074
"28"	2	4	1	50	0.1	0.25	50	9045.627715	0.048	2	0.104582271513776
"29"	2	4	1	50	0.1	0.25	50	10941.892698	0.046	2	0.0851552711581324
"30"	2	4	1	50	0.1	0.25	50	8628.107341	0.059	2	0.0418283831347803
"31"	2	4	1	50	0.1	0.1	50	11277.076485	0.045	2	0.0393913442231674
"32"	2	4	1	50	0.1	0.5	50	8268.732594	0.061	2	0.034020658670319
"33"	2	4	1	50	0.1	0.1	50	11800.254937	0.041	2	0.0303195179986554
"34"	2	4	1	50	0.1	0.1	50	11676.080011	0.042	2	0.0280658002035877
"35"	2	4	1	50	0.1	0.5	100	6716.283143	0.129	2	0.025378009848697
"36"	2	2	1	50	0.1	0.25	50	8776.578141	0.054	2	0.0229934719934814
"37"	2	4	1	50	0.1	0.25	50	8900.683063	0.053	2	0.0227148085394343
"38"	2	4	1	50	0.1	0.5	100	6978.968452	0.128	2	0.0218414712477014
"39"	2	4	1	50	0.1	0.75	50	7519.823558	0.083	2	0.0209612846024493
"40"	2	4	1	50	0.1	0.5	50	8056.311002	0.065	2	0.0205256661086424
"41"	2	4	1	50	0.1	0.25	100	7367.821585	0.102	2	0.02032899846694
"42"	2	4	1	50	0.1	0.75	50	7636.610304	0.081	2	0.0198304786752491
"43"	2	4	1	50	0.1	0.25	100	7184.583829	0.104	2	0.0196410455475936
"44"	2	4	1	50	0.1	0.1	50	11451.242537	0.043	2	0.0195980973125162
"45"	2	4	1	50	0.1	0.5	50	7959.331669	0.066	2	0.0187163880680574
"46"	2	4	1	50	0.1	0.5	50	7825.604072	0.067	2	0.017903397971295
"47"	2	4	1	50	0.1	0.5	50	8212.932818	0.064	2	0.0177554836821612
"48"	2	4	1	50	0.1	0.25	100	7429.570129	0.1	2	0.0166117407166377
"49"	2	2	1	50	0.1	0.1	50	11434.21612	0.044	2	0.0142480911167268
"50"	2	4	1	50	0.1	0.5	100	7067.338386	0.125	2	0.0139144239214542
"51"	2	4	1	50	0.1	0.75	50	7761.564824	0.08	2	0.0112316193388361
"52"	2	4	1	50	0.1	0.5	100	6667.029908	0.131	2	0.0104878249343162
"53"	2	4	1	50	0.1	0.25	100	7117.25332	0.108	2	0.00967311719792206
"54"	2	4	1	50	0.1	0.75	50	7766.480306	0.077	2	0.00820781386023599
"55"	2	4	1	50	0.1	0.75	100	6663.213801	0.155	2	0.00705774762776299
"56"	2	4	1	50	0.1	0.5	100	6996.31949	0.126	2	0.00686991446546728
"57"	2	4	1	50	0.1	0.25	100	7134.603624	0.107	2	0.00628926549159542
"58"	2	4	1	50	0.1	0.75	100	6660.427163	0.158	2	0.00195585446936413
"59"	2	4	1	50	0.1	0.5	100	6986.53421	0.127	2	0.00185535733252414
"60"	2	4	1	50	0.1	0.75	100	6659.90674	0.162	2	0.00128904306121198
"61"	2	4	1	50	0.1	0.1	50	13828.587083	0.039	3	Inf
"62"	2	4	1	50	0.1	0.5	150	6659.431533	0.205	3	Inf
"63"	2	4	1	50	0.1	0.5	150	6659.431533	0.205	3	Inf
"64"	2	4	1	50	0.1	0.1	50	12292.249203	0.04	3	0.155838858768771
"65"	2	4	1	50	0.1	0.25	50	10424.15503	0.047	3	0.102017965506302
"66"	2	4	1	50	0.1	0.25	50	9768.286822	0.048	3	0.0896177993226297
"67"	2	4	1	50	0.1	0.1	50	11053.074172	0.046	3	0.0782479440625685
"68"	2	4	1	50	0.1	0.25	50	9296.276742	0.049	3	0.0564472261123154
"69"	2	4	1	50	0.1	0.1	50	11862.761612	0.041	3	0.0383800943916596
"70"	2	4	1	50	0.1	0.5	50	8701.264138	0.06	3	0.0380262665694516
"71"	2	4	1	50	0.1	0.5	50	8476.294779	0.061	3	0.0341312283501314
"72"	2	4	1	50	0.1	0.1	50	11408.161591	0.045	3	0.0319060925123229
"73"	2	4	1	50	0.1	0.1	50	11685.537605	0.043	3	0.0290954293550165
"74"	2	4	1	50	0.1	0.5	50	8093.911592	0.066	3	0.0259902433017777
"75"	2	4	1	50	0.1	0.5	100	7011.602271	0.126	3	0.0251918643318262
"76"	2	4	1	50	0.1	0.5	50	8275.501102	0.062	3	0.024225590126883
"77"	2	3	1	50	0.1	0.5	50	7859.253093	0.067	3	0.0233911536800281
"78"	2	4	1	50	0.1	0.25	50	8939.092282	0.055	3	0.0231225813262357
"79"	2	4	1	50	0.1	0.25	100	7310.896516	0.105	3	0.022857946536201
"80"	2	2	1	50	0.1	0.1	50	11450.680813	0.044	3	0.0224045395990363
"81"	2	4	1	50	0.1	0.25	100	7205.21335	0.106	3	0.021684657396147
"82"	2	4	1	50	0.1	0.25	100	7479.137291	0.101	3	0.0212677605345341
"83"	2	4	1	50	0.1	0.25	50	9060.141903	0.05	3	0.0209205934561267
"84"	2	4	1	50	0.1	0.5	100	6791.246096	0.129	3	0.0207939238314638
"85"	2	4	1	50	0.1	0.5	100	7097.766065	0.125	3	0.0201420858358064
"86"	2	4	1	50	0.1	0.75	50	7671.07686	0.081	3	0.0200524081260989
"87"	2	1	1	50	0.1	0.5	50	7831.619337	0.077	3	0.0182601494963451
"88"	2	4	1	50	0.1	0.5	50	8182.001838	0.065	3	0.0153188943882388
"89"	2	4	1	50	0.1	0.1	50	11812.721921	0.042	3	0.014489754343177
"90"	2	4	1	50	0.1	0.25	100	7564.698582	0.1	3	0.0136131773319581
"91"	2	4	1	50	0.1	0.9	50	7620.764245	0.091	3	0.0130062038999484
"92"	2	4	1	50	0.1	0.75	100	6659.90674	0.163	3	0.0126741102335686
"93"	2	4	1	50	0.1	0.25	50	8975.473582	0.054	3	0.00875931460687129
"94"	2	4	1	50	0.1	0.5	100	6667.029908	0.138	3	0.00857711643946025
"95"	2	4	1	50	0.1	0.25	50	9043.804525	0.053	3	0.00765943332843621
"96"	2	4	1	50	0.1	0.5	100	6710.857851	0.134	3	0.00731153007094034
"97"	2	4	1	50	0.1	0.75	100	6666.650561	0.155	3	0.00661473119843677
"98"	2	4	1	50	0.1	0.5	100	6744.232806	0.133	3	0.00490980055291944
"99"	2	4	1	50	0.1	0.5	100	6766.859163	0.132	3	0.00468364189803856
"100"	2	4	1	800	0.1	0.9	50	6659.431533	3.844	4	Inf
