""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	13321.449399	0.039	1	Inf
"2"	2	4	1	50	0.1	0.75	100	6659.431533	0.156	1	Inf
"3"	2	4	1	50	0.1	0.25	50	9873.433992	0.047	1	0.149761073056887
"4"	2	4	1	50	0.1	0.1	50	11767.353278	0.04	1	0.137203382963922
"5"	2	4	1	50	0.1	0.1	50	10828.087072	0.046	1	0.10541287512334
"6"	2	4	1	50	0.1	0.25	50	8939.168607	0.048	1	0.0881931810098027
"7"	2	4	1	50	0.1	0.25	50	8660.687734	0.053	1	0.0480777442015517
"8"	2	4	1	50	0.1	0.5	50	8154.899127	0.059	1	0.0466671334596997
"9"	2	4	1	50	0.1	0.25	100	7230.616659	0.1	1	0.0454189142539587
"10"	2	4	1	50	0.1	0.25	100	6948.314062	0.102	1	0.0392848102674094
"11"	2	4	1	50	0.1	0.75	50	7455.646486	0.08	1	0.0382452016671707
"12"	2	4	1	50	0.1	0.1	50	11198.116676	0.044	1	0.0369260761846211
"13"	2	4	1	50	0.1	0.1	50	11591.43327	0.041	1	0.034948329505471
"14"	2	4	1	50	0.1	0.5	50	8009.827022	0.065	1	0.0319342682670761
"15"	2	4	1	50	0.1	0.5	50	7705.903017	0.066	1	0.031806545339795
"16"	2	4	1	50	0.1	0.5	100	6807.030139	0.124	1	0.0283714342405785
"17"	2	4	1	50	0.1	0.1	50	11331.250818	0.042	1	0.0246097978302878
"18"	2	4	1	50	0.1	0.75	50	7650.237581	0.079	1	0.0231662142074573
"19"	2	4	1	50	0.1	0.5	100	6662.823078	0.126	1	0.0194106904282555
"20"	2	4	1	50	0.1	0.25	50	8766.64565	0.05	1	0.0165640820119228
"21"	2	4	1	50	0.1	0.5	50	8103.866188	0.064	1	0.0129171512273848
"22"	2	4	1	50	0.1	0.1	50	11286.152388	0.043	1	0.0110054326217477
"23"	2	4	1	50	0.1	0.25	50	8741.822758	0.052	1	0.00909982944750882
