""	""	""	""	""	""	""	""	""	"rnkIndex"	""
"1"	2	4	1	50	0.1	0.1	50	241625.771783	0.082	1	Inf
"2"	2	3	1	700	0.1	0.5	900	30456.352164	164.806	1	Inf
"3"	2	4	1	300	0.1	0.9	900	30750.420352	53.563	1	0.441446527549201
"4"	2	4	1	200	0.1	0.75	900	31036.030993	22.804	1	0.122962056670556
"5"	2	4	1	300	0.1	0.9	900	31032.778457	53.082	1	0.122099949043662
"6"	2	4	1	50	0.1	0.25	100	180017.132042	0.203	1	0.0813079007289669
"7"	2	3	1	50	0.1	0.9	50	196562.262538	0.199	1	0.0763112846061767
"8"	2	4	1	50	0.1	0.5	100	152972.163089	0.268	1	0.0690103711670829
"9"	2	3	1	50	0.1	0.25	100	166807.848179	0.252	1	0.0632575788376912
"10"	2	4	1	50	0.1	0.25	50	226683.826266	0.1	1	0.0553366023801433
"11"	2	4	1	50	0.1	0.5	300	91113.044535	0.814	1	0.045379303412447
"12"	2	4	1	50	0.1	0.5	50	197123.747415	0.138	1	0.039904163662442
"13"	2	4	1	50	0.1	0.1	50	233650.116334	0.095	1	0.0396163121538526
"14"	2	4	1	50	0.1	0.25	50	221209.027584	0.101	1	0.0383034000417793
"15"	2	4	1	50	0.1	0.5	50	205480.134663	0.134	1	0.0380760057490948
"16"	2	4	1	50	0.1	0.5	150	132928.279781	0.404	1	0.0369068393824983
"17"	2	3	1	50	0.1	0.25	150	140167.516008	0.383	1	0.0365031455263579
"18"	2	4	1	50	0.1	0.1	50	235580.248635	0.084	1	0.0355108011179587
"19"	2	4	1	100	0.1	0.75	1000	32805.285414	9.574	1	0.0343647348293943
"20"	2	3	1	50	0.1	0.25	300	96842.380036	0.748	1	0.0332907035554005
"21"	2	4	1	50	0.1	0.5	200	110774.129184	0.542	1	0.0331253864304667
"22"	2	4	1	200	0.1	0.5	900	32390.331497	16.734	1	0.0310173243182848
"23"	2	4	1	50	0.1	0.25	50	218072.103354	0.104	1	0.0284169932909652
"24"	2	4	1	50	0.1	0.5	300	86695.682084	0.816	1	0.0283474126242819
"25"	2	4	1	50	0.1	0.5	200	105682.107771	0.552	1	0.0276847552384456
"26"	2	2	1	50	0.1	0.5	150	116751.815664	0.519	1	0.0271725036757915
"27"	2	3	1	50	0.1	0.25	50	210025.229943	0.124	1	0.0263885260806133
"28"	2	4	1	200	0.1	0.75	900	32100.338986	22.271	1	0.0241488155414723
"29"	2	4	1	50	0.1	0.25	100	174143.661717	0.21	1	0.0240220734617744
"30"	2	4	1	50	0.1	0.5	200	103108.767736	0.558	1	0.0237352554729611
"31"	2	4	1	50	0.1	0.25	100	171219.788167	0.214	1	0.0233142657076984
